epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
1,50,1.351323,,2e-05,2344.8,0.87
1,100,1.052593,,4e-05,2306.9,1.74
1,150,0.949798,,6e-05,2257.8,2.62
1,200,0.786022,,8e-05,1540.2,3.94
1,250,0.767449,,0.0001,1654.2,5.15
1,300,0.393171,,0.00012,1652.2,6.5
1,350,0.818509,,0.00014,1718.0,7.67
1,400,0.761853,,0.00016,1739.4,8.8
1,450,0.663487,,0.00018,1718.7,9.95
1,500,0.763564,,0.0002,1507.2,11.41
1,500,,0.626935,0.0002,1507.2,12.49
1,550,0.704948,,0.0002,1578.5,13.97
1,600,0.789932,,0.00019999,1767.0,15.06
2,650,0.669128,,0.00019998,1602.3,16.28
2,700,0.579077,,0.00019997,1597.6,17.55
2,750,0.563793,,0.00019995,1634.2,18.76
2,800,0.838331,,0.00019993,1671.5,19.94
2,850,0.759771,,0.0001999,1715.1,21.09
2,900,0.772422,,0.00019987,1704.0,22.28
2,950,0.680841,,0.00019984,1776.7,23.39
2,1000,0.6474,,0.0001998,1738.0,24.53
2,1000,,0.573521,0.0001998,1738.0,25.54
2,1050,0.514693,,0.00019975,1563.8,26.92
2,1100,0.324003,,0.00019971,1747.9,28.02
2,1150,0.557252,,0.00019966,1745.8,29.17
2,1200,0.543596,,0.0001996,1720.6,30.33
2,1250,0.614038,,0.00019954,1702.7,31.49
3,1300,0.627799,,0.00019948,1693.4,32.68
3,1350,0.599029,,0.00019941,1725.4,33.82
3,1400,0.495433,,0.00019934,1729.8,34.98
3,1450,0.470912,,0.00019927,1734.5,36.12
3,1500,0.625228,,0.00019919,1713.0,37.3
3,1500,,0.550517,0.00019919,1713.0,38.31
3,1550,0.57417,,0.00019911,1587.2,39.68
3,1600,0.739579,,0.00019902,1752.0,40.78
3,1650,0.584983,,0.00019893,1682.5,41.96
3,1700,0.503392,,0.00019883,1826.8,43.07
3,1750,0.773166,,0.00019873,1713.8,44.19
3,1800,0.661503,,0.00019863,1847.3,45.29
3,1850,0.58905,,0.00019852,1730.3,46.43
4,1900,0.507807,,0.00019841,1657.5,47.65
4,1950,0.417267,,0.0001983,1659.5,48.91
4,2000,0.597098,,0.00019818,1754.0,50.02
4,2000,,0.516908,0.00019818,1754.0,51.04
4,2050,0.52176,,0.00019806,1594.1,52.42
4,2100,0.783669,,0.00019793,1701.8,53.54
4,2150,0.530814,,0.0001978,1705.2,54.7
4,2200,0.524954,,0.00019766,1717.1,55.84
