epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
1,50,1.930133,,5.29e-06,1120.0,1.8
1,100,1.723878,,1.058e-05,921.6,3.85
1,150,1.282483,,1.586e-05,914.0,6.32
1,200,1.275999,,2.115e-05,931.3,8.49
1,250,1.079705,,2.644e-05,908.1,10.68
1,300,1.056655,,3.173e-05,946.0,12.85
1,350,0.886485,,3.702e-05,951.7,14.93
1,400,1.060599,,4.231e-05,982.9,16.99
1,450,0.813852,,4.759e-05,959.4,19.06
1,500,0.882548,,5.288e-05,978.8,21.14
1,550,0.792343,,5.817e-05,974.4,23.24
1,600,0.993179,,6.346e-05,971.9,25.29
1,650,1.010914,,6.875e-05,962.9,27.37
1,700,0.646561,,7.403e-05,869.6,29.71
1,750,0.739688,,7.932e-05,921.1,31.92
1,800,0.916597,,8.461e-05,903.6,34.13
1,850,0.874938,,8.99e-05,912.2,36.41
1,900,0.841732,,9.519e-05,842.2,38.76
1,950,0.806383,,0.00010048,1009.8,40.81
1,1000,0.645888,,0.00010576,996.5,42.89
1,1050,0.689912,,0.00011105,960.2,45.01
1,1100,1.05063,,0.00011634,981.0,47.04
1,1150,1.075018,,0.00012163,967.8,49.15
1,1200,0.873115,,0.00012692,949.1,51.28
1,1250,0.863843,,0.00013221,957.3,53.37
1,1300,0.815669,,0.00013749,949.1,55.5
1,1350,0.855131,,0.00014278,960.7,57.56
1,1400,0.908124,,0.00014807,881.1,59.81
1,1450,0.812309,,0.00015336,871.2,62.14
1,1500,0.786272,,0.00015865,925.7,64.38
1,1500,,0.805754,0.00015865,925.7,70.83
1,1550,0.814079,,0.00016393,948.3,73.32
1,1600,0.746363,,0.00016922,952.1,75.39
1,1650,0.885841,,0.00017451,983.3,77.45
1,1700,0.930027,,0.0001798,950.4,79.56
1,1750,1.019393,,0.00018509,974.4,81.68
1,1800,0.798281,,0.00019038,964.6,83.75
1,1850,0.852987,,0.00019566,911.4,85.95
1,1900,0.799426,,0.0002,965.1,88.13
1,1950,0.961157,,0.0002,955.6,90.24
1,2000,0.684716,,0.00019999,918.2,92.41
1,2050,0.715214,,0.00019999,938.4,94.51
1,2100,0.743085,,0.00019998,941.1,96.63
1,2150,0.914028,,0.00019996,995.8,98.7
1,2200,0.684547,,0.00019995,954.2,100.81
1,2250,0.750467,,0.00019993,989.1,102.89
1,2300,0.814734,,0.00019991,979.5,104.98
1,2350,0.839236,,0.00019988,892.6,107.31
1,2400,0.81535,,0.00019985,944.5,109.43
1,2450,0.918959,,0.00019982,989.4,111.54
1,2500,0.690119,,0.00019979,954.0,113.66
1,2550,0.838195,,0.00019976,891.7,115.99
1,2600,0.7493,,0.00019972,882.8,118.22
1,2650,0.893695,,0.00019968,914.5,120.47
1,2700,0.917239,,0.00019963,892.7,122.72
1,2750,0.722823,,0.00019959,897.8,124.97
1,2800,0.870833,,0.00019954,964.0,127.04
1,2850,0.663206,,0.00019948,965.0,129.15
1,2900,0.895549,,0.00019943,965.6,131.26
