selfies,token_count,valid,smiles,canonical_smiles,logp,mw,heavy_atoms,rings,aromatic_rings,hbd,hba,rot_bonds,qed,lipinski,token_retention
[C][C][=C][C][=C][Branch2][Ring1][=C][O][C][C][=Branch1][C][=O][N][C][C][Branch1][Branch1][Ring1][C][N][Branch1][C][C][=N][C][=C][C][=C][Ring1][=Branch1][F][C][C][Ring1][Ring1][C][=C][Ring2][Ring1][#Branch1],42,True,C1C=CC=C(OCC(=O)NC=CCC2=NC=CC=C2F)C=C1,O=C(COC1=CC=CCC=C1)NC=CCc1ncccc1F,2.81,300.33,22,2,1,1,3,6,0.879,True,0.667
[C][C][=C][C][=C][C][Branch2][Ring1][=C][C][N][C][=Branch1][C][=O][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][N][C@H1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2][=C][Ring2][Ring1][=Branch2],43,True,CC=C1C=CC(CNC(=O)[C@@H1](O)CC(=O)N[C@H1]C2NC3=CC=CC=C3O2)=C1,CC=C1C=CC(CNC(=O)[C@@H](O)CC(=O)N[CH]C2Nc3ccccc3O2)=C1,1.405,368.41,27,3,1,4,5,7,0.583,True,1.0
[C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][N][C@@H1][C][C][NH1+1][Branch1][C][C][C][C@][Ring1][#Branch1][Ring1][#Branch2][NH1+1][C][C][C][C][O][Ring1][Branch1][C][=C][Ring2][Ring1][#Branch1],40,True,CC1C=CC=C(C(=O)N[C@@H1]2CC[NH1+1](C)C[C@]2[NH1+1]C3CCCO3)C=C1,CC1C=CC=C(C(=O)N[C@@H]2CC[NH+](C)C[C]2[NH+]C2CCCO2)C=C1,-0.904,331.46,24,3,0,3,3,4,0.625,True,0.95
[C][C][=C][C][=C][C][Branch2][Ring1][=C][N][C][=Branch1][C][=O][C][=C][C][Branch1][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][=N-1][N][=C][Ring1][#Branch1][S][Ring1][S][=C][=C][Ring2][Ring1][=Branch2],43,True,C1C=CC=CC(NC(=O)C=CC(NC(=O)C2=CC=C([N-1])N=C2)S)=C=C1,[N-]c1ccc(C(=O)NC(S)C=CC(=O)NC2=C=CCC=CC=C2)cn1,2.764,352.42,25,2,1,3,4,5,0.329,True,0.907
[C][C][=C][C][=C][Branch2][Ring2][Ring2][C][C@H1][C][C][N][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][#Branch2],47,True,CC1=CC=C(C[C@H1]2CCN(C(=O)N3CCC[C@H1]3C4=CC=C(F)C=C4)C2C)C1,CC1=CC=C(C[C@H]2CCN(C(=O)N3CCC[C@H]3c3ccc(F)cc3)C2C)C1,5.46,368.5,27,4,1,0,1,3,0.695,False,1.0
[C][C][=C][C][=C][C][Branch2][Ring1][#C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][P][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][=C][Ring1][#C][=S][=C][Ring2][Ring1][=Branch2],45,True,CC=C1C=CC(NC(=O)C=C2C=C(NC(=O)C3=CC=CC=C3CF)C2)=S=C1,CC=C1C=CC(NC(=O)C=C2C=C(NC(=O)c3ccccc3CF)C2)=S=C1,3.398,382.46,27,3,1,2,2,4,0.619,True,0.956
[C][C][=C][C][=C][Branch2][Ring1][=C][C][=Branch1][C][=O][N][C][C][N][Branch1][=C][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1][O],41,True,C1C=CC=C1C(=O)N2CCN(C(=O)CC3=CC=CC=C3)CC2C=C,C=CC1CN(C(=O)Cc2ccccc2)CCN1C(=O)C1=CC=CC1,2.341,322.41,24,3,1,0,2,4,0.798,True,0.878
[C][C][=N][C][=C][C][Branch2][Ring1][S][S][C][Branch1][C][C][C][=Branch1][C][=O][N][N][C][=Branch1][N][=O][/C][=C][C][=C][Branch1][#Branch1][N][NH1+1][Branch1][C][C][C][C][=C][Ring1][O][C][=C][Ring2][Ring1][=Branch2],45,True,C1C=NC=CC(SC(C2)C(=O)NNC(=O)CCC=C2)C=C1,O=C1CCC=CCC(SC2C=CCC=NC=C2)C(=O)NN1,1.889,305.4,21,2,0,2,4,2,0.765,True,0.667
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][N][C][=Branch1][C][=O][=N][=N][C@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Ring1][N][C][=C][Ring2][Ring1][#Branch1][O],41,True,CC1=CC=C(C(=O)NNC(=O)N=N[C@H1](C2=CC=CC=C2)OCC)C1O,CCO[C@H](N=NC(=O)NNC(=O)C1=CC=C(C)C1O)c1ccccc1,2.162,344.37,25,2,1,3,5,5,0.561,True,0.927
[C][O][C][=C][C][=C][Branch2][Ring1][S][N][C][=Branch1][C][=O][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][Branch1][C][=C][Ring2][Ring1][=Branch2],43,True,C1OC=CC=C1NC(=O)C(C)CNC(=O)CCC(=O)NC2CCCC2C=C,C=CC1CCCC1NC(=O)CCC(=O)NCC(C)C(=O)NC1=CC=COC1,1.534,375.47,27,2,0,3,4,9,0.533,True,0.907
[C][C][=C][C][=C][Branch2][Ring2][Branch1][C][=Branch1][C][/N+1][N][Branch2][Ring1][#Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][NH1+1][=C][Ring1][=Branch1][O][C][C][C][Ring1][#Branch2][C][N][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1],47,True,C1C=CC=C(C(/[N+1])N(CC(=O)N2C=CC=CC2=C)CN1C)C,C=C1C=CC=CN1C(=O)CN1CN(C)CC=CC=C(C)C1[N+],1.514,298.39,22,2,0,0,3,2,0.776,True,0.681
[C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][Ring1][C][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][=C][C][S][Ring1][#Branch1][C][C@@H1][Ring2][Ring1][C][O][Ring2][Ring1][#Branch2],48,True,C1C=CC=C(C(=O)NCCNCC(=O)C2=CC=CC(=C2)CCS)CO1,O=C(NCCNCC(=O)c1cccc(CCS)c1)C1=CC=CCOC1,1.56,360.48,25,2,1,3,5,9,0.355,True,0.75
[C][C][=C][C][=C][Branch2][Ring2][Ring1][C][N][C][=Branch1][C][=O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][C@@H1][=N][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][Ring1][#Branch2][C][Branch1][C][F][=C][Ring2][Ring1][=N],47,True,C1C=CC=C(CNC(=O)[C@@H1](C)C(=O)[C@@H1]=NNC2=CC=C(F)C=C2NCF)C1,C[C@@H](C(=O)C=NNc1ccc(F)cc1NCF)C(=O)NCC1=CC=CCC1,3.16,376.41,27,2,1,3,5,9,0.268,True,0.851
[C][O][C][=C][C][=C][Branch2][Ring1][S][\O][C][C][C][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C][Branch1][C][NH3+1][S][Branch1][C][C][C][Ring1][Ring1][C][C][Ring1][P][C][=C][Ring2][Ring1][Branch2],46,True,COC=C1C=C(\OCC2CC(C(=O)[C@@H1]CCCCC([NH3+1])S(C)=C)CC2)C=C1,C=S(C)C([NH3+])CCCC[CH]C(=O)C1CCC(COC2=CC(=COC)C=C2)C1,3.636,393.59,27,2,0,1,3,12,0.313,True,0.891
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][NH1+1][C][C][N][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C@H1][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][P][C][C][Ring2][Ring1][=Branch1],43,True,C1C2=CC=CC=C2C[NH1+1]CCN1C(=O)[C@H1]C3=NC4=CC=CC=C4C3C,CC1C([CH]C(=O)N2CC[NH+]Cc3ccccc3C2)=Nc2ccccc21,1.972,332.43,25,4,2,1,3,2,0.898,True,0.907
[C][O][C][=C][C][=C][Branch2][Ring2][Ring2][/C][C][C][=Branch1][C][=S][N][N][C][=Branch1][C][=O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][Ring1][C][=C][Ring2][Ring1][O],47,True,C1OC=CC=C1/CCC(=S)NNC(=O)[C@@H1](C)C(=O)NC2=CC=CC=C2CCC=C,C=CCCc1ccccc1NC(=O)[C@H](C)C(=O)NNC(=S)CCC1=CC=COC1,3.579,413.54,29,2,1,3,4,9,0.25,True,0.872
[Br][C][=N][C][=C][C][Branch2][Ring1][N][N][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][C][N][Branch1][=Branch2][C][=N][C][=NH1+1][C][=N][Ring1][=Branch1][C][O][Ring1][O][=C][Ring2][Ring1][#Branch1],40,True,BrC1=NC=CC(NC(=O)C(=O)NC2CN(C3=NC=[NH1+1]C=N3)CO2)=C1,O=C(Nc1ccnc(Br)c1)C(=O)NC1CN(c2nc[nH+]cn2)CO1,-0.677,395.2,24,3,2,2,7,3,0.522,True,0.95
