epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
1,100,2.685111,,4e-05,10270.0,1.55
1,200,2.257231,,8e-05,7476.8,3.67
1,300,2.191541,,0.00012,8577.6,5.55
1,400,2.174273,,0.00016,8867.9,7.35
1,500,2.07857,,0.0002,8696.9,9.19
1,600,1.858219,,0.00024,8782.4,10.98
1,700,1.69996,,0.00028,8685.3,12.78
1,800,1.70604,,0.00032,9159.5,14.55
1,900,1.673202,,0.00036,8901.8,16.3
1,1000,1.646193,,0.0004,9051.5,18.05
1,1100,1.569072,,0.00039998,8744.9,19.84
1,1200,1.535899,,0.00039994,5607.8,22.14
1,1300,1.493666,,0.00039986,8788.6,24.42
1,1400,1.439448,,0.00039975,8893.1,26.18
1,1500,1.557192,,0.00039961,8831.3,27.96
1,1600,1.463407,,0.00039945,8864.9,29.72
1,1700,1.43107,,0.00039925,8845.3,31.51
1,1754,,1.386165,0.00039912,7977.0,33.58
2,1800,1.50246,,0.00039901,8378.7,34.48
2,1900,1.402501,,0.00039875,9017.2,36.25
2,2000,1.438367,,0.00039846,8712.3,38.07
2,2100,1.396124,,0.00039814,9009.5,39.84
2,2200,1.381705,,0.00039779,8852.1,41.64
2,2300,1.267894,,0.0003974,8818.5,43.45
2,2400,1.410151,,0.00039699,8801.4,45.28
2,2500,1.259982,,0.00039654,8422.8,47.17
2,2600,1.422082,,0.00039607,8724.1,48.96
2,2700,1.282085,,0.00039556,8698.0,50.81
2,2800,1.308464,,0.00039503,8441.7,52.63
2,2900,1.353791,,0.00039446,8527.6,54.48
2,3000,1.205091,,0.00039387,8560.3,56.32
2,3100,1.196164,,0.00039324,8552.3,58.19
2,3200,1.270012,,0.00039259,8490.3,60.04
2,3300,1.194018,,0.0003919,8326.1,61.91
2,3400,1.173603,,0.00039119,8474.1,63.8
2,3500,1.124155,,0.00039045,8533.6,65.67
2,3508,,1.2216,0.00039039,8757.4,66.86
3,3600,1.216228,,0.00038968,8379.9,68.63
3,3700,1.1821,,0.00038887,8523.6,70.5
3,3800,1.268625,,0.00038804,8471.4,72.36
3,3900,1.224679,,0.00038718,8638.3,74.2
3,4000,1.272698,,0.00038629,8566.7,76.04
3,4100,1.223482,,0.00038538,8528.0,77.89
3,4200,1.158283,,0.00038443,8412.2,79.76
3,4300,1.195449,,0.00038346,8517.0,81.61
3,4400,1.111185,,0.00038245,8455.0,83.51
3,4500,1.315539,,0.00038142,8489.6,85.37
3,4600,1.228824,,0.00038036,8392.4,87.25
3,4700,1.281071,,0.00037928,8501.9,89.13
3,4800,1.323648,,0.00037816,8442.1,90.99
3,4900,1.320034,,0.00037702,8355.3,92.88
3,5000,1.181195,,0.00037585,8476.9,94.75
3,5100,1.275751,,0.00037466,8457.2,96.63
3,5200,1.210477,,0.00037343,8455.4,98.51
3,5262,,1.130983,0.00037266,8518.3,100.74
4,5300,1.125888,,0.00037218,8306.2,101.49
4,5400,1.130314,,0.00037091,8438.2,103.38
4,5500,1.165787,,0.0003696,8313.4,105.26
4,5600,1.274611,,0.00036828,8247.5,107.15
4,5700,1.237785,,0.00036692,8370.1,109.04
4,5800,1.168162,,0.00036554,8400.9,110.93
4,5900,1.144234,,0.00036413,8532.8,112.77
4,6000,1.217288,,0.0003627,8089.1,114.93
4,6100,1.127119,,0.00036125,8485.7,116.75
4,6200,1.065306,,0.00035977,8608.7,118.62
4,6300,1.080711,,0.00035826,8505.0,120.47
4,6400,1.176335,,0.00035673,8531.9,122.32
4,6500,1.101963,,0.00035518,8590.7,124.17
4,6600,0.984988,,0.0003536,8573.4,126.05
4,6700,1.154196,,0.000352,8386.5,127.92
4,6800,1.085672,,0.00035037,8482.2,129.79
4,6900,1.092009,,0.00034872,8558.3,131.65
4,7000,1.15168,,0.00034705,8569.8,133.51
4,7016,,1.078711,0.00034678,8701.8,134.81
5,7100,1.075915,,0.00034536,8553.8,136.39
5,7200,1.024605,,0.00034364,8494.0,138.26
5,7300,1.172095,,0.0003419,8583.6,140.1
5,7400,1.292288,,0.00034014,8523.1,141.95
5,7500,1.249659,,0.00033836,8504.3,143.81
5,7600,1.076976,,0.00033656,8569.9,145.66
5,7700,1.156899,,0.00033473,8415.7,147.51
5,7800,0.994365,,0.00033289,8581.4,149.36
5,7900,1.152441,,0.00033102,8563.7,151.21
5,8000,1.140538,,0.00032914,8491.2,153.08
5,8100,1.148421,,0.00032723,8581.4,154.92
5,8200,1.050865,,0.00032531,8510.3,156.78
5,8300,1.087418,,0.00032336,8376.2,158.66
