molecule_idx,position,category,mode,gt_token_id,top1_pred_id,top1_correct,p_gt,entropy,ring_count_of_molecule,ring_bin
0,2,atom,mode1,3,3,1,0.9999881982803345,0.00017015976482070982,4,3+
0,22,atom,mode1,33,33,1,0.9530918002128601,0.19486942887306213,4,3+
0,28,atom,mode1,17,17,1,0.9886308908462524,0.07166139781475067,4,3+
0,24,ring_count,mode1,15,15,1,0.9996623992919922,0.003403337672352791,4,3+
0,30,ring_count,mode1,8,8,1,0.9985161423683167,0.012108230963349342,4,3+
0,38,ring_count,mode1,5,5,1,0.999953031539917,0.0006134692812338471,4,3+
0,39,ring_count,mode1,12,12,1,0.530536949634552,0.7965495586395264,4,3+
0,40,ring_count,mode1,5,5,1,0.9998795986175537,0.001340074697509408,4,3+
0,41,ring_count,mode1,24,24,1,0.5681246519088745,0.8935838937759399,4,3+
0,3,branch_opener,mode1,7,7,1,0.9999781847000122,0.0002929013571701944,4,3+
0,17,branch_opener,mode1,7,7,1,0.9999866485595703,0.00018350436585024,4,3+
0,24,branch_opener,mode1,15,15,1,0.9996623992919922,0.003403337672352791,4,3+
0,25,branch_opener,mode1,6,6,1,0.9998181462287903,0.0020572941284626722,4,3+
0,32,branch_opener,mode1,7,7,1,0.9999347925186157,0.0008421571692451835,4,3+
0,2,atom,mode2,3,3,1,0.9999872446060181,0.00018045004981104285,4,3+
0,22,atom,mode2,33,33,1,0.9499896168708801,0.20463034510612488,4,3+
0,28,atom,mode2,17,17,1,0.9882699251174927,0.07706168293952942,4,3+
0,24,ring_count,mode2,15,15,1,0.999733030796051,0.0027532395906746387,4,3+
0,30,ring_count,mode2,8,8,1,0.9983484745025635,0.012981375679373741,4,3+
0,38,ring_count,mode2,5,5,1,0.9997449517250061,0.0027226717211306095,4,3+
0,39,ring_count,mode2,12,5,0,0.055472370237112045,0.2810879051685333,4,3+
0,40,ring_count,mode2,5,5,1,0.9993433356285095,0.0064227283000946045,4,3+
0,41,ring_count,mode2,24,24,1,0.5964450836181641,0.9265927076339722,4,3+
0,3,branch_opener,mode2,7,7,1,0.999983549118042,0.0002259832399431616,4,3+
0,17,branch_opener,mode2,7,7,1,0.9999885559082031,0.00016268010949715972,4,3+
0,24,branch_opener,mode2,15,15,1,0.9998101592063904,0.0021215968299657106,4,3+
