step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
1,0.7308,0.7308,0.8568,-0.5547,0.0000,1.0000
2,0.7247,0.7247,0.8609,-1.3492,-0.0518,1.0000
3,0.7422,0.7422,0.8541,-0.2309,-0.0850,1.0000
4,0.7401,0.7401,0.8504,-0.6219,-0.1474,1.0000
5,0.7088,0.7088,0.8674,-0.4826,-0.1892,1.0000
6,0.7030,0.7030,0.8747,-0.3114,-0.1770,1.0000
7,0.7129,0.7129,0.8602,-0.4260,-0.3890,1.0000
8,0.7201,0.7201,0.8494,-1.8805,-0.3204,1.0000
9,0.7783,0.7783,0.8386,-0.1916,-0.1219,1.0000
10,0.6944,0.6944,0.8450,-0.7877,-0.4238,1.0000
11,0.6741,0.6741,0.8534,-1.0215,-0.6647,1.0000
12,0.7148,0.7148,0.8657,-1.3265,-0.5892,1.0000
13,0.7059,0.7059,0.8544,-0.5594,-0.3422,1.0000
14,0.6894,0.6894,0.8677,-1.2036,-0.6292,1.0000
15,0.7164,0.7164,0.8610,-0.8887,-0.5701,1.0000
16,0.7366,0.7366,0.8586,-0.9054,-0.6995,1.0000
17,0.7278,0.7278,0.8508,-0.5396,-0.8046,1.0000
18,0.7395,0.7395,0.8401,-0.6020,-0.7918,1.0000
19,0.7314,0.7314,0.8632,-0.3915,-0.9355,1.0000
20,0.7248,0.7248,0.8591,-1.1070,-1.6586,1.0000
21,0.6888,0.6888,0.8697,-1.3254,-1.4921,1.0000
22,0.7374,0.7374,0.8495,-1.7712,-1.0281,1.0000
23,0.6946,0.6946,0.8618,-0.7607,-1.5368,1.0000
24,0.6981,0.6981,0.8731,-0.7644,-1.2192,1.0000
25,0.6720,0.6720,0.8589,-1.3700,-1.3664,1.0000
26,0.7119,0.7119,0.8604,-0.9246,-1.2089,1.0000
27,0.6966,0.6966,0.8535,-0.3862,-1.7070,1.0000
28,0.7446,0.7446,0.8664,-0.7915,-1.1849,1.0000
29,0.6300,0.6300,0.8732,-0.9205,-2.0654,1.0000
30,0.7092,0.7092,0.8572,-0.9445,-1.5703,1.0000
31,0.7448,0.7448,0.8605,-0.7174,-1.4423,1.0000
32,0.7037,0.7037,0.8459,-0.8180,-1.6475,1.0000
33,0.6916,0.6916,0.8722,-1.8930,-1.6752,1.0000
34,0.6811,0.6811,0.8607,-3.2355,-2.6311,1.0000
35,0.6714,0.6714,0.8813,-1.2053,-2.7985,1.0000
36,0.6892,0.6892,0.8752,-1.6488,-2.5892,1.0000
37,0.7145,0.7145,0.8572,-1.0881,-2.1460,1.0000
38,0.7490,0.7490,0.8736,-1.2319,-1.7308,1.0000
39,0.6853,0.6853,0.8762,-1.2560,-2.5416,1.0000
40,0.6784,0.6784,0.8753,-2.1832,-4.0327,1.0000
41,0.6930,0.6930,0.8670,-2.3752,-2.7339,1.0000
42,0.6693,0.6693,0.8647,-0.6355,-2.2535,1.0000
43,0.7054,0.7054,0.8511,-1.7459,-1.9799,1.0000
44,0.7090,0.7090,0.8501,-0.3425,-2.2342,1.0000
45,0.6828,0.6828,0.8726,-2.5376,-3.8273,1.0000
46,0.6764,0.6764,0.8762,-2.4676,-5.7117,1.0000
47,0.6349,0.6349,0.8761,-2.6274,-5.5525,1.0000
48,0.5975,0.5975,0.8840,-3.8037,-5.7106,1.0000
49,0.6608,0.6608,0.8932,-2.0604,-3.9837,1.0000
50,0.6186,0.6186,0.8975,-4.1282,-5.7786,1.0000
51,0.6067,0.6067,0.9021,-2.4694,-6.0246,1.0000
52,0.6787,0.6787,0.8935,-1.9409,-4.8843,1.0000
53,0.6615,0.6615,0.8734,-2.4916,-4.7719,1.0000
54,0.6405,0.6405,0.8917,-2.2563,-4.7736,1.0000
55,0.6238,0.6238,0.8926,-5.1627,-7.6142,1.0000
56,0.6660,0.6660,0.8712,-3.5279,-5.5474,1.0000
57,0.6604,0.6604,0.8919,-2.7209,-6.9832,1.0000
58,0.6757,0.6757,0.8779,-3.8162,-7.4140,1.0000
59,0.6733,0.6733,0.8757,-3.5668,-6.7470,1.0000
60,0.6360,0.6360,0.8826,-4.3003,-7.5983,1.0000
61,0.6673,0.6673,0.8699,-4.7324,-7.5931,1.0000
62,0.6023,0.6023,0.8816,-5.2339,-9.3731,1.0000
63,0.6297,0.6297,0.8840,-3.9583,-9.0884,1.0000
64,0.6037,0.6037,0.8858,-3.0124,-9.5748,1.0000
65,0.6156,0.6156,0.8910,-3.3115,-9.7289,1.0000
66,0.6549,0.6549,0.8838,-4.0521,-7.0189,1.0000
67,0.6459,0.6459,0.8997,-4.2425,-11.1247,1.0000
68,0.5495,0.5495,0.8992,-2.1438,-9.6146,1.0000
69,0.6112,0.6112,0.9015,-1.4029,-6.6568,1.0000
70,0.6524,0.6524,0.8803,-2.6937,-9.3561,1.0000
71,0.5575,0.5575,0.9047,-5.7301,-13.2782,1.0000
72,0.5535,0.5535,0.9143,-4.2724,-11.5250,1.0000
73,0.5873,0.5873,0.9029,-3.1554,-8.9781,1.0000
74,0.5628,0.5628,0.9195,-3.4381,-10.4511,1.0000
75,0.5582,0.5582,0.9065,-3.1188,-12.2156,1.0000
76,0.5519,0.5519,0.9078,-8.3940,-17.4525,1.0000
77,0.5051,0.5051,0.9151,-4.4321,-10.8413,1.0000
78,0.5302,0.5302,0.9026,-6.2564,-15.8716,1.0000
79,0.4637,0.4637,0.9391,-8.7895,-24.7398,1.0000
80,0.5434,0.5434,0.9100,-1.6894,-13.6240,1.0000
81,0.5639,0.5639,0.9185,-2.9391,-15.9367,1.0000
82,0.5264,0.5264,0.9154,-9.7448,-23.5906,1.0000
83,0.5342,0.5342,0.9159,-6.3172,-22.2109,1.0000
84,0.4390,0.4390,0.9190,-6.9129,-24.8607,1.0000
85,0.5342,0.5342,0.9194,-8.4819,-26.0045,1.0000
86,0.4908,0.4908,0.9270,-12.3953,-24.6708,1.0000
87,0.4692,0.4692,0.9443,-10.0753,-29.2995,1.0000
88,0.4513,0.4513,0.9356,-7.6709,-36.0193,1.0000
89,0.4727,0.4727,0.9316,-11.3678,-35.7380,1.0000
90,0.3574,0.3574,0.9245,-5.3269,-26.7949,1.0000
91,0.4771,0.4771,0.9232,-10.1929,-35.2384,1.0000
92,0.4679,0.4679,0.9285,-9.5667,-27.0836,1.0000
93,0.4264,0.4264,0.9160,-5.6159,-29.1084,1.0000
94,0.4683,0.4683,0.9296,-6.3080,-30.0322,1.0000
95,0.4544,0.4544,0.9502,-11.9471,-38.7031,1.0000
96,0.3980,0.3980,0.9560,-11.9130,-54.8110,1.0000
97,0.4048,0.4048,0.9483,-9.5956,-42.1968,1.0000
98,0.4066,0.4066,0.9374,-4.4928,-32.5435,1.0000
99,0.3574,0.3574,0.9569,-12.2074,-57.8360,1.0000
100,0.3989,0.3989,0.9440,-10.4894,-52.7273,1.0000
101,0.3663,0.3663,0.9596,-5.0349,-55.5781,1.0000
102,0.3319,0.3319,0.9531,-6.2515,-76.6990,1.0000
103,0.3480,0.3480,0.9648,-11.5982,-53.3417,1.0000
104,0.3450,0.3450,0.9693,-9.2571,-62.6687,1.0000
105,0.3585,0.3585,0.9652,-7.9852,-81.5139,1.0000
106,0.3014,0.3014,0.9678,-6.1794,-84.0109,1.0000
107,0.3604,0.3604,0.9647,-8.6181,-63.1507,1.0000
108,0.3751,0.3751,0.9692,-7.0051,-60.4242,1.0000
109,0.3581,0.3581,0.9636,-15.0607,-88.0685,1.0000
110,0.3539,0.3539,0.9552,-11.6929,-94.2260,1.0000
111,0.3424,0.3424,0.9669,-13.1812,-96.2313,1.0000
112,0.3132,0.3132,0.9613,-8.6133,-85.9811,1.0000
113,0.3685,0.3685,0.9736,-13.8981,-113.5733,1.0000
114,0.3065,0.3065,0.9678,-15.6838,-133.6554,1.0000
115,0.3558,0.3558,0.9667,-12.2394,-121.8895,1.0000
116,0.3223,0.3223,0.9726,-11.3734,-130.4166,1.0000
117,0.3452,0.3452,0.9625,-9.6637,-116.3678,1.0000
118,0.3292,0.3292,0.9708,-13.4039,-133.4614,1.0000
119,0.3583,0.3583,0.9732,-10.8579,-134.1389,1.0000
120,0.3281,0.3281,0.9754,-17.3679,-178.4710,1.0000
121,0.3561,0.3561,0.9703,-12.4315,-109.2546,1.0000
122,0.3454,0.3454,0.9733,-11.5025,-137.2981,1.0000
123,0.3263,0.3263,0.9719,-14.7105,-162.3245,1.0000
124,0.3534,0.3534,0.9731,-17.1616,-162.3685,1.0000
125,0.3601,0.3601,0.9697,-13.2580,-162.8650,1.0000
126,0.3921,0.3921,0.9698,-16.6539,-198.3306,1.0000
127,0.3947,0.3947,0.9772,-18.5042,-179.7167,1.0000
128,0.3213,0.3213,0.9696,-12.9575,-201.5790,1.0000
129,0.3397,0.3397,0.9636,-18.8260,-206.7459,1.0000
