step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
1,0.5828,0.5828,0.8930,0.1757,3.3013,1.0000
2,0.6779,0.6779,0.8810,-0.1044,3.5866,1.0000
3,0.6532,0.6532,0.8616,0.1720,3.7586,1.0000
4,0.6621,0.6621,0.8731,0.0675,1.0624,1.0000
5,0.6186,0.6186,0.8905,0.0920,3.0307,1.0000
6,0.6237,0.6237,0.8869,-0.1126,2.6625,1.0000
7,0.6155,0.6155,0.8812,0.0152,0.4417,1.0000
8,0.6664,0.6664,0.8770,0.4177,3.4820,1.0000
9,0.6332,0.6332,0.8764,-0.2084,0.5654,1.0000
10,0.6762,0.6762,0.8814,0.3694,5.0180,1.0000
11,0.6376,0.6376,0.8814,0.1780,2.5648,1.0000
12,0.6645,0.6645,0.8822,0.0382,0.8782,1.0000
13,0.5836,0.5836,0.9027,0.3879,2.8524,1.0000
14,0.6152,0.6152,0.8745,0.1551,1.9240,1.0000
15,0.7206,0.7206,0.8716,-0.1676,0.8086,1.0000
16,0.6099,0.6099,0.8747,0.1152,1.8218,1.0000
17,0.6520,0.6520,0.8841,-0.1730,1.5653,1.0000
18,0.6389,0.6389,0.8812,-0.1176,1.0401,1.0000
19,0.7023,0.7023,0.8697,-0.0452,1.7247,1.0000
20,0.6722,0.6722,0.8773,0.1345,3.0960,1.0000
21,0.7056,0.7056,0.8839,0.4142,6.2736,1.0000
22,0.7249,0.7249,0.8694,-0.0598,1.3586,1.0000
23,0.6451,0.6451,0.8796,-0.0971,0.4167,1.0000
24,0.6335,0.6335,0.8774,0.1454,3.3556,1.0000
25,0.7113,0.7113,0.8667,-0.2960,1.8465,1.0000
26,0.6369,0.6369,0.8789,0.0861,1.8395,1.0000
27,0.6545,0.6545,0.8665,0.0303,0.2094,1.0000
28,0.6239,0.6239,0.8872,-0.2886,2.5092,1.0000
29,0.6798,0.6798,0.8679,-0.3535,1.7877,1.0000
30,0.6655,0.6655,0.8715,0.1283,1.6086,1.0000
31,0.6738,0.6738,0.8747,-0.0101,2.5352,1.0000
32,0.6519,0.6519,0.8918,-0.2759,1.3194,1.0000
33,0.6909,0.6909,0.8766,-0.1576,0.0000,1.0000
34,0.6559,0.6559,0.8832,-0.6175,0.4957,1.0000
35,0.6605,0.6605,0.8811,-0.2708,0.0000,1.0000
36,0.6618,0.6618,0.8670,-0.2129,1.5123,1.0000
37,0.6707,0.6707,0.8817,-0.0576,1.5502,1.0000
38,0.6796,0.6796,0.8692,-0.0263,2.9464,1.0000
39,0.6886,0.6886,0.8669,-0.0582,1.4423,1.0000
40,0.6352,0.6352,0.8780,-0.2423,0.0695,1.0000
41,0.6425,0.6425,0.8675,0.0520,2.9232,1.0000
42,0.6651,0.6651,0.8728,-0.1394,0.5329,1.0000
43,0.6165,0.6165,0.8799,-0.2258,0.9227,1.0000
44,0.6701,0.6701,0.8703,-0.4684,0.0282,1.0000
45,0.6593,0.6593,0.8803,-0.0767,0.0000,1.0000
46,0.6988,0.6988,0.8744,-0.0857,0.8383,1.0000
47,0.6309,0.6309,0.8730,0.3575,3.8032,1.0000
48,0.6787,0.6787,0.8721,0.2279,1.0553,1.0000
49,0.6706,0.6706,0.8687,-0.0548,0.4522,1.0000
50,0.6873,0.6873,0.8720,-0.1313,0.8644,1.0000
51,0.6752,0.6752,0.8663,-0.2449,0.1875,1.0000
52,0.6550,0.6550,0.8742,-0.2425,1.6646,1.0000
53,0.6299,0.6299,0.8884,-0.2140,1.0812,1.0000
54,0.6388,0.6388,0.8638,-0.1936,0.0000,1.0000
55,0.6293,0.6293,0.8818,-0.0864,0.0695,1.0000
56,0.6960,0.6960,0.8757,0.2464,0.6678,1.0000
57,0.7174,0.7174,0.8683,-0.1433,1.2554,1.0000
58,0.6524,0.6524,0.8862,0.0507,3.1966,1.0000
59,0.6262,0.6262,0.8754,-0.4809,0.1734,1.0000
60,0.6513,0.6513,0.8750,-0.4479,1.3109,1.0000
61,0.6951,0.6951,0.8786,-0.2971,0.0000,1.0000
62,0.6977,0.6977,0.8710,-0.2443,0.8661,1.0000
63,0.6045,0.6045,0.8781,-0.1402,2.7753,1.0000
64,0.6157,0.6157,0.8936,-0.1947,1.5269,1.0000
65,0.6400,0.6400,0.8765,-0.3024,0.6177,1.0000
66,0.6462,0.6462,0.8619,0.2344,0.5790,1.0000
67,0.5926,0.5926,0.8749,-0.4381,0.1835,1.0000
68,0.7504,0.7504,0.8625,0.0656,1.0341,1.0000
69,0.7011,0.7011,0.8682,-0.0393,1.1418,1.0000
70,0.6156,0.6156,0.8792,-0.2175,0.7532,1.0000
71,0.6313,0.6313,0.8715,-0.2307,0.8927,1.0000
72,0.7104,0.7104,0.8833,0.2396,4.0949,1.0000
73,0.7226,0.7226,0.8667,-0.0136,0.0000,1.0000
74,0.7165,0.7165,0.8774,-0.0850,0.3057,1.0000
75,0.7029,0.7029,0.8703,-0.2923,0.2045,1.0000
76,0.6087,0.6087,0.8780,0.0179,1.2750,1.0000
77,0.7085,0.7085,0.8745,-0.1558,1.3457,1.0000
78,0.6588,0.6588,0.8625,-0.1687,0.8402,1.0000
79,0.6381,0.6381,0.8717,-0.1372,0.4191,1.0000
80,0.6719,0.6719,0.8702,-0.0088,0.5354,1.0000
81,0.6368,0.6368,0.8761,-0.3607,0.5826,1.0000
82,0.7288,0.7288,0.8783,-0.2416,0.5355,1.0000
83,0.6371,0.6371,0.8859,-0.1907,0.8744,1.0000
84,0.6824,0.6824,0.8721,0.0375,0.8916,1.0000
85,0.6931,0.6931,0.8717,-0.0915,0.0000,1.0000
86,0.6909,0.6909,0.8773,0.1575,2.4022,1.0000
87,0.6790,0.6790,0.8759,0.0562,0.0426,1.0000
88,0.7074,0.7074,0.8813,-0.3437,0.8075,1.0000
89,0.6426,0.6426,0.8779,-0.4434,2.3236,1.0000
90,0.6556,0.6556,0.8761,-0.1463,0.0000,1.0000
91,0.7436,0.7436,0.8796,-0.3035,0.5025,1.0000
92,0.6779,0.6779,0.8693,-0.0988,0.1017,1.0000
93,0.6943,0.6943,0.8711,-0.0843,0.0000,1.0000
94,0.7133,0.7133,0.8630,-0.0900,0.0000,1.0000
95,0.6611,0.6611,0.8709,-0.1564,0.3896,1.0000
96,0.6610,0.6610,0.8743,-0.3631,1.0698,1.0000
97,0.6938,0.6938,0.8699,-0.0186,0.2248,1.0000
98,0.6963,0.6963,0.8721,0.0672,0.0000,1.0000
99,0.6274,0.6274,0.8831,-0.3992,0.3547,1.0000
100,0.7195,0.7195,0.8696,-0.1142,0.1360,1.0000
101,0.7093,0.7093,0.8662,-0.2461,0.0698,1.0000
102,0.7108,0.7108,0.8720,-0.2571,0.9324,1.0000
103,0.6807,0.6807,0.8671,-0.4427,1.5835,1.0000
104,0.7101,0.7101,0.8684,-0.2805,0.0000,1.0000
105,0.6989,0.6989,0.8550,-0.2610,0.0296,1.0000
106,0.7043,0.7043,0.8630,0.1489,0.1204,1.0000
