step,mean_qed,mean_mw,mean_reward,mean_diversity,loss,mean_kl,validity
1,0.5805,293.09,0.8518,0.8877,0.0624,4.0094,1.0000
2,0.6191,294.43,0.8901,0.8821,0.2252,4.5510,1.0000
3,0.6264,316.60,0.9205,0.8719,0.3733,5.0490,1.0000
4,0.6103,307.68,0.8965,0.8875,0.2964,1.6811,1.0000
5,0.6735,303.67,0.9577,0.8790,0.0172,1.7030,1.0000
6,0.6105,308.21,0.9071,0.8672,-0.1627,3.2537,1.0000
7,0.5964,318.94,0.8964,0.8650,0.1877,1.9288,1.0000
8,0.6224,300.05,0.8978,0.8859,0.1313,3.6508,1.0000
9,0.6201,316.65,0.9166,0.8811,0.1083,2.0151,1.0000
10,0.5648,316.25,0.8461,0.8932,0.1739,4.6068,1.0000
11,0.5856,316.71,0.8763,0.8821,0.3501,2.8315,1.0000
12,0.6366,329.87,0.9366,0.8609,0.0415,0.5128,1.0000
13,0.6877,308.33,0.9732,0.8760,0.0210,1.9059,1.0000
14,0.6239,313.27,0.9163,0.8891,-0.0829,1.7537,1.0000
15,0.6727,321.28,0.9727,0.8717,-0.1520,0.0874,1.0000
16,0.6121,334.95,0.9121,0.8776,-0.1670,0.2504,1.0000
17,0.6191,325.98,0.9134,0.8790,-0.2211,1.3518,1.0000
18,0.6563,315.92,0.9449,0.8743,0.2297,3.4706,1.0000
19,0.6465,318.58,0.9325,0.8738,-0.4183,0.6932,1.0000
20,0.6796,329.88,0.9782,0.8814,-0.2163,1.4794,1.0000
21,0.6153,346.80,0.9131,0.8847,0.0284,1.2287,1.0000
22,0.6578,315.73,0.9230,0.8888,-0.0467,2.4670,1.0000
23,0.6469,317.52,0.9404,0.8829,0.1074,1.1775,1.0000
24,0.6747,308.36,0.9591,0.8814,-0.2930,2.0185,1.0000
25,0.6128,316.20,0.8882,0.8740,-0.0230,2.4936,1.0000
26,0.6413,328.25,0.9326,0.8749,-0.1559,0.2344,1.0000
27,0.5965,331.66,0.8901,0.8682,0.1811,2.6519,1.0000
28,0.6004,335.62,0.9001,0.8786,0.1466,0.0012,1.0000
29,0.5771,320.95,0.8583,0.8919,-0.0299,0.7555,1.0000
30,0.6893,329.90,0.9882,0.8755,-0.1586,1.7967,1.0000
31,0.6351,325.92,0.9155,0.8697,-0.2623,2.2314,1.0000
32,0.6283,333.08,0.9268,0.8744,-0.0378,1.2517,1.0000
33,0.6649,336.34,0.9649,0.8809,-0.1223,0.2837,1.0000
34,0.6800,338.26,0.9800,0.8742,0.1109,0.8798,1.0000
35,0.6963,338.52,0.9963,0.8661,0.1797,0.3260,1.0000
36,0.6790,339.80,0.9790,0.8615,0.0165,1.1761,1.0000
37,0.6457,341.64,0.9457,0.8801,-0.2893,0.9785,1.0000
38,0.6818,341.77,0.9818,0.8660,-0.0422,0.5451,1.0000
39,0.6643,332.67,0.9571,0.8720,-0.2280,0.8952,1.0000
40,0.6877,328.75,0.9856,0.8742,0.1693,2.1541,1.0000
41,0.6018,333.45,0.9011,0.8709,0.2758,3.0612,1.0000
42,0.6035,318.59,0.8868,0.8764,-0.3253,0.3996,1.0000
43,0.6230,333.74,0.9146,0.8748,-0.2812,0.9153,1.0000
44,0.6635,327.01,0.9567,0.8881,-0.2219,0.1362,1.0000
45,0.5924,331.55,0.8740,0.8775,-0.3492,0.0974,1.0000
46,0.6689,337.45,0.9689,0.8693,-0.1452,1.3868,1.0000
47,0.6869,324.51,0.9804,0.8689,-0.0200,0.2814,1.0000
48,0.6675,337.65,0.9675,0.8689,0.0035,0.1171,1.0000
49,0.6730,335.07,0.9730,0.8726,-0.2139,0.0027,1.0000
50,0.6843,318.98,0.9750,0.8816,-0.4173,0.4441,1.0000
51,0.6713,319.06,0.9620,0.8723,-0.1013,1.0323,1.0000
52,0.6654,300.72,0.9439,0.8875,-0.2161,0.8815,1.0000
53,0.6491,341.99,0.9491,0.8706,-0.4890,0.3468,1.0000
54,0.6873,331.73,0.9780,0.8846,-0.3223,0.6121,1.0000
55,0.6909,323.17,0.9872,0.8655,-0.0617,2.3236,1.0000
56,0.6593,321.48,0.9390,0.8945,0.1349,1.3521,1.0000
57,0.6543,336.82,0.9438,0.8724,-0.0647,0.6717,1.0000
58,0.7113,324.85,1.0020,0.8663,-0.1493,0.7467,1.0000
59,0.6760,337.50,0.9716,0.8795,-0.5272,0.2304,1.0000
60,0.6861,326.03,0.9737,0.8788,-0.2831,0.0000,1.0000
61,0.6306,328.51,0.9167,0.8824,-0.2667,1.0704,1.0000
62,0.6920,333.54,0.9826,0.8715,-0.0730,2.3093,1.0000
63,0.6536,330.44,0.9536,0.8831,-0.0092,0.2381,1.0000
64,0.6801,329.07,0.9706,0.8771,-0.1301,1.5477,1.0000
65,0.6961,317.95,0.9867,0.8850,-0.1024,0.9260,1.0000
66,0.5657,336.62,0.8650,0.8819,0.2369,1.2414,1.0000
67,0.6460,347.76,0.9460,0.8721,-0.4861,0.0000,1.0000
68,0.6346,328.35,0.9198,0.8789,-0.5140,0.5444,1.0000
69,0.6630,335.42,0.9525,0.8746,-0.2013,0.5665,1.0000
70,0.6944,330.63,0.9917,0.8677,0.0964,1.3814,1.0000
71,0.6686,324.35,0.9592,0.8797,-0.4253,0.6731,1.0000
72,0.6347,336.65,0.9341,0.8714,-0.1048,0.2414,1.0000
73,0.6414,323.85,0.9337,0.8708,-0.2027,0.1628,1.0000
74,0.7303,330.16,1.0219,0.8819,-0.5502,0.2435,1.0000
75,0.6569,333.36,0.9537,0.8834,0.0973,1.3656,1.0000
76,0.6543,330.16,0.9534,0.8725,0.1374,0.4965,1.0000
77,0.6510,335.28,0.9491,0.8710,-0.4003,0.0000,1.0000
78,0.6970,324.53,0.9919,0.8778,-0.3640,0.2051,1.0000
79,0.7267,326.68,1.0242,0.8721,-0.3204,0.6243,1.0000
80,0.6643,331.97,0.9636,0.8647,-0.0640,2.0887,1.0000
81,0.6488,316.91,0.9288,0.8729,-0.0547,0.9132,1.0000
82,0.6928,309.71,0.9651,0.8804,-0.2083,1.7569,1.0000
83,0.6620,330.17,0.9420,0.8723,0.0947,0.2848,1.0000
84,0.6859,329.50,0.9840,0.8764,-0.6865,1.0910,1.0000
85,0.6862,323.26,0.9843,0.8720,-0.7035,0.0000,1.0000
86,0.6633,323.25,0.9586,0.8690,-0.0446,0.8485,1.0000
87,0.6854,334.16,0.9762,0.8865,-0.7056,0.0000,1.0000
88,0.6612,313.94,0.9436,0.8783,-0.1464,0.0621,1.0000
89,0.6752,312.33,0.9737,0.8597,-0.5497,0.0000,1.0000
90,0.7599,325.16,1.0584,0.8741,-0.2154,0.0846,1.0000
91,0.6718,324.29,0.9617,0.8743,-0.3073,2.8016,1.0000
92,0.7017,331.47,1.0017,0.8653,-0.1395,0.5888,1.0000
93,0.6495,330.00,0.9495,0.8661,-1.0656,0.0597,1.0000
94,0.6698,318.74,0.9631,0.8692,0.0589,0.0049,1.0000
95,0.6868,321.52,0.9773,0.8785,-0.3438,0.2133,1.0000
96,0.7371,319.77,1.0179,0.8730,-0.3076,0.3246,1.0000
97,0.7094,320.33,1.0025,0.8830,0.1579,0.0000,1.0000
98,0.6987,316.99,0.9987,0.8703,-0.5557,0.0502,1.0000
99,0.7150,308.66,1.0036,0.8747,-0.6336,1.0468,1.0000
100,0.6752,308.74,0.9655,0.8638,-0.1041,0.6944,1.0000
101,0.6948,317.09,0.9945,0.8797,-0.0467,0.7881,1.0000
102,0.7041,323.81,1.0041,0.8600,-0.2578,0.5370,1.0000
103,0.6948,311.18,0.9904,0.8531,-0.0509,0.0000,1.0000
104,0.7159,307.86,1.0052,0.8719,-0.3805,0.0480,1.0000
105,0.7522,310.02,1.0478,0.8697,-0.0359,0.5073,1.0000
106,0.7196,310.49,1.0120,0.8772,0.0951,0.5799,1.0000
107,0.6619,310.78,0.9520,0.8729,-0.2373,0.0000,1.0000
108,0.7169,318.56,1.0164,0.8705,-0.1663,0.2759,1.0000
109,0.7089,304.86,1.0089,0.8562,-0.4984,0.0000,1.0000
110,0.7596,298.61,1.0534,0.8697,-0.2438,0.1242,1.0000
111,0.7257,312.20,1.0185,0.8704,-0.0941,1.5179,1.0000
112,0.6897,288.69,0.9637,0.8732,0.0079,1.4233,1.0000
113,0.6506,308.21,0.9315,0.8814,-0.3873,1.3823,1.0000
114,0.6900,297.61,0.9746,0.8691,-0.3901,0.0092,1.0000
115,0.6950,315.73,0.9925,0.8737,0.1066,0.1312,1.0000
116,0.7200,306.49,1.0115,0.8567,-0.5839,0.1627,1.0000
117,0.7249,316.41,1.0249,0.8693,-0.1533,0.0407,1.0000
118,0.7213,311.62,1.0193,0.8620,-0.1250,0.1136,1.0000
119,0.6894,304.66,0.9613,0.8821,-0.0754,0.1884,1.0000
120,0.6901,307.61,0.9845,0.8775,-0.2789,0.4862,1.0000
121,0.7344,285.04,1.0102,0.8688,-0.4439,0.1641,1.0000
122,0.6874,306.98,0.9837,0.8789,-0.1087,0.9520,1.0000
123,0.7088,312.98,1.0088,0.8709,-0.4501,0.1205,1.0000
124,0.6953,311.93,0.9949,0.8638,-0.5894,0.5258,1.0000
125,0.7084,304.86,1.0044,0.8716,-0.0779,0.4715,1.0000
126,0.7183,308.28,1.0181,0.8597,-0.2226,1.5468,1.0000
127,0.7525,304.37,1.0384,0.8688,-0.3266,0.0000,1.0000
128,0.7199,294.95,0.9988,0.8736,0.1725,0.5856,1.0000
129,0.6992,304.66,0.9926,0.8900,-0.4420,0.0000,1.0000
130,0.7249,302.38,1.0146,0.8799,0.0054,0.0000,1.0000
131,0.7198,296.66,1.0092,0.8639,-0.3346,0.7259,1.0000
132,0.6918,277.50,0.9682,0.8704,-0.2011,0.2062,1.0000
133,0.6949,300.77,0.9881,0.8674,0.1114,1.4695,1.0000
134,0.6853,298.54,0.9845,0.8628,-0.2439,0.0745,1.0000
135,0.7111,296.29,0.9983,0.8651,-0.4677,1.9317,1.0000
136,0.7840,293.21,1.0817,0.8588,-0.4262,0.0896,1.0000
137,0.7263,290.39,1.0146,0.8676,-0.1008,0.4777,1.0000
138,0.6562,281.29,0.9284,0.8768,-0.9960,0.2003,1.0000
139,0.7157,299.61,1.0128,0.8737,-0.1208,0.8234,1.0000
140,0.7713,292.12,1.0606,0.8634,-0.1958,0.0000,1.0000
141,0.7501,302.83,1.0403,0.8634,-0.2415,0.5565,1.0000
142,0.7776,298.23,1.0682,0.8655,-0.0559,0.4788,1.0000
143,0.7162,303.25,1.0139,0.8670,-0.4524,0.0000,1.0000
144,0.7060,308.49,0.9953,0.8610,0.1421,0.6573,1.0000
145,0.7497,318.32,1.0487,0.8708,-0.1932,0.0000,1.0000
146,0.7265,306.81,1.0256,0.8644,-0.1805,0.3135,1.0000
147,0.7145,306.35,1.0064,0.8761,-0.0153,0.5173,1.0000
148,0.7430,304.25,1.0430,0.8695,-0.0998,0.0000,1.0000
149,0.7617,301.83,1.0546,0.8671,-0.1389,0.2826,1.0000
150,0.7539,308.10,1.0445,0.8564,0.0107,0.0486,1.0000
151,0.7454,296.77,1.0315,0.8676,-0.6179,0.2189,1.0000
152,0.7317,301.99,1.0261,0.8730,0.0035,2.5906,1.0000
153,0.7001,300.61,0.9907,0.8782,-0.9198,0.2692,1.0000
154,0.7748,292.88,1.0639,0.8743,-0.3596,0.0000,1.0000
155,0.6780,307.32,0.9697,0.8768,-0.2381,0.0496,1.0000
156,0.7026,303.83,0.9964,0.8619,-0.0906,0.6396,1.0000
157,0.7646,312.17,1.0640,0.8633,-0.1347,0.0000,1.0000
158,0.7225,308.03,1.0156,0.8784,0.0808,1.5031,1.0000
159,0.7552,291.75,1.0389,0.8619,-0.2635,1.5616,1.0000
160,0.7221,300.70,1.0200,0.8617,-0.1518,0.0000,1.0000
161,0.7536,294.07,1.0306,0.8755,-0.5979,0.1015,1.0000
162,0.7219,286.42,1.0101,0.8739,-0.1293,0.0000,1.0000
163,0.7581,302.13,1.0558,0.8731,-0.0932,0.0000,1.0000
164,0.7294,300.13,1.0099,0.8627,-0.6196,0.0000,1.0000
165,0.7511,316.90,1.0501,0.8573,-0.6357,0.1596,1.0000
166,0.7864,295.97,1.0746,0.8604,-0.4259,0.3915,1.0000
167,0.7493,309.35,1.0491,0.8747,-0.1705,0.7776,1.0000
168,0.7560,299.07,1.0440,0.8701,-0.7281,0.0000,1.0000
169,0.7141,311.17,1.0109,0.8708,-0.0759,0.0848,1.0000
170,0.7358,301.80,1.0264,0.8572,-0.2853,0.1529,1.0000
171,0.7240,301.92,1.0146,0.8714,-0.2685,1.0520,1.0000
172,0.7927,299.58,1.0927,0.8486,-0.2140,0.0000,1.0000
173,0.6503,303.55,0.9466,0.8783,-0.5856,0.1608,1.0000
174,0.7769,297.01,1.0716,0.8689,-0.1893,0.0250,1.0000
175,0.7675,304.30,1.0675,0.8632,-0.2365,1.8745,1.0000
176,0.7252,308.11,1.0170,0.8565,-0.8986,0.0000,1.0000
177,0.6936,299.45,0.9777,0.8604,-0.3088,0.5731,1.0000
178,0.7599,306.73,1.0599,0.8593,-0.2126,0.0000,1.0000
179,0.7265,311.76,1.0198,0.8682,-0.6269,1.5356,1.0000
180,0.7252,303.12,1.0230,0.8581,0.3704,1.4281,1.0000
181,0.7577,302.69,1.0577,0.8507,-0.2613,0.0000,1.0000
182,0.7167,305.88,1.0074,0.8776,-0.6684,0.2292,1.0000
183,0.7897,303.51,1.0781,0.8513,-0.2955,0.3426,1.0000
184,0.7856,299.81,1.0813,0.8580,-0.1731,1.9225,1.0000
185,0.7120,317.14,1.0115,0.8718,0.0640,0.2654,1.0000
186,0.7417,292.58,1.0206,0.8596,-0.3249,1.5063,1.0000
187,0.7276,310.87,1.0264,0.8655,-0.5731,0.0000,1.0000
188,0.7215,299.80,1.0212,0.8685,-0.2370,0.0505,1.0000
189,0.7715,309.40,1.0715,0.8498,0.0462,0.5651,1.0000
190,0.7353,292.48,1.0300,0.8623,-0.4440,0.0000,1.0000
191,0.7228,304.20,1.0148,0.8744,-0.2547,0.0000,1.0000
192,0.7537,285.72,1.0375,0.8527,-0.2956,0.0000,1.0000
193,0.7076,304.95,1.0030,0.8674,-0.7050,0.1788,1.0000
194,0.7044,309.32,0.9945,0.8654,-0.8836,0.0105,1.0000
195,0.7407,284.28,1.0185,0.8842,-0.3891,1.4314,1.0000
196,0.6934,281.81,0.9652,0.8765,-0.7158,0.2851,1.0000
197,0.7565,316.31,1.0550,0.8655,-0.3237,0.0000,1.0000
198,0.7790,295.99,1.0746,0.8566,-0.0021,0.7281,1.0000
199,0.7854,306.10,1.0854,0.8510,-0.3098,0.0000,1.0000
200,0.7086,304.56,0.9984,0.8702,-0.6615,1.2218,1.0000
201,0.7762,296.20,1.0617,0.8711,-0.2774,0.1004,1.0000
202,0.7769,291.75,1.0675,0.8604,-0.1106,0.0052,1.0000
203,0.7710,312.66,1.0696,0.8677,-0.3649,0.1943,1.0000
204,0.7768,293.61,1.0634,0.8539,-0.2741,0.4327,1.0000
205,0.7587,313.84,1.0570,0.8722,-0.1805,0.2616,1.0000
206,0.7482,313.73,1.0482,0.8522,-0.2915,0.1448,1.0000
207,0.6999,305.82,0.9961,0.8794,-0.0357,1.4514,1.0000
208,0.7483,299.63,1.0459,0.8635,-0.1177,0.4529,1.0000
209,0.7069,293.61,0.9899,0.8682,-0.2698,0.0000,1.0000
210,0.7266,305.33,1.0251,0.8588,-0.2999,0.2768,1.0000
211,0.7312,299.54,1.0249,0.8546,-0.1421,1.0010,1.0000
212,0.7314,311.58,1.0314,0.8715,-0.2160,0.6511,1.0000
213,0.7281,301.92,1.0262,0.8721,-0.2013,0.9124,1.0000
214,0.7418,291.63,1.0260,0.8685,0.0469,2.0372,1.0000
215,0.7437,309.23,1.0375,0.8644,-0.3182,0.2597,1.0000
216,0.7002,306.61,0.9992,0.8796,-0.7883,1.4680,1.0000
217,0.7222,311.11,1.0222,0.8694,-0.4201,0.1140,1.0000
218,0.7052,302.83,1.0004,0.8622,-1.3985,0.1712,1.0000
219,0.7130,303.47,1.0118,0.8685,-0.1423,0.0000,1.0000
220,0.7421,303.58,1.0418,0.8743,-0.4775,0.6347,1.0000
221,0.7144,299.23,1.0086,0.8672,-0.4924,0.2297,1.0000
222,0.7702,304.04,1.0655,0.8600,-0.3302,0.0314,1.0000
223,0.7442,304.26,1.0407,0.8746,-0.4478,0.7616,1.0000
224,0.7524,301.74,1.0424,0.8728,-0.4813,0.0000,1.0000
225,0.7502,306.92,1.0363,0.8712,-0.7337,0.2072,1.0000
226,0.7295,302.79,1.0205,0.8658,-0.6328,0.1726,1.0000
227,0.7758,303.73,1.0728,0.8657,-0.2792,0.0727,1.0000
228,0.7235,312.77,1.0225,0.8670,-0.4593,0.0000,1.0000
229,0.7229,307.64,1.0118,0.8498,-0.0854,0.5321,1.0000
230,0.7372,309.51,1.0372,0.8679,-0.2368,0.0000,1.0000
231,0.7140,300.42,0.9950,0.8731,-0.6084,0.7762,1.0000
232,0.7348,307.66,1.0338,0.8556,0.0497,0.0000,1.0000
233,0.7496,292.72,1.0383,0.8643,-0.6609,0.0136,1.0000
234,0.7183,284.53,1.0016,0.8718,-0.9163,0.7031,1.0000
235,0.7604,314.96,1.0519,0.8571,-0.2255,1.1486,1.0000
