step,mean_qed,mean_mw,mean_reward,mean_diversity,loss,mean_kl,validity
1,0.7210,274.91,0.9985,0.8661,-0.3177,0.8099,1.0000
2,0.7195,299.72,1.0195,0.8491,-0.1188,0.6259,1.0000
3,0.7635,296.72,1.0635,0.8493,0.0258,0.0000,1.0000
4,0.7482,299.19,1.0388,0.8463,-0.3532,0.0000,1.0000
5,0.7483,296.65,1.0415,0.8266,0.0873,0.4319,1.0000
6,0.7028,293.07,1.0025,0.8598,-0.0168,0.0000,1.0000
7,0.7331,311.61,1.0331,0.8510,-0.2372,0.0654,1.0000
8,0.7224,287.65,1.0216,0.8524,0.1317,0.3531,1.0000
9,0.7592,298.39,1.0499,0.8431,-0.0545,0.0000,1.0000
10,0.7422,302.18,1.0422,0.8447,-0.0469,0.2825,1.0000
11,0.7861,301.35,1.0842,0.8502,0.0759,0.0000,1.0000
12,0.7404,290.36,1.0338,0.8480,0.0488,0.0000,1.0000
13,0.7841,294.12,1.0808,0.8463,-0.1763,0.0000,1.0000
14,0.7317,296.28,1.0316,0.8331,-0.2233,0.0000,1.0000
15,0.6913,294.04,0.9832,0.8499,-0.1972,0.0000,1.0000
16,0.7453,289.56,1.0299,0.8499,-0.1265,0.4055,1.0000
17,0.7140,296.91,1.0140,0.8273,-0.0500,0.4564,1.0000
18,0.7845,300.11,1.0845,0.8254,-0.1719,0.2154,1.0000
19,0.7439,302.39,1.0439,0.8365,-0.0742,0.0000,1.0000
20,0.7655,305.66,1.0655,0.8371,0.0735,0.8120,1.0000
21,0.7227,299.19,1.0169,0.8441,-0.2270,0.1751,1.0000
22,0.7504,310.37,1.0504,0.8412,-0.1291,0.0263,1.0000
23,0.7443,299.09,1.0422,0.8455,-0.1538,0.9829,1.0000
24,0.8084,305.07,1.1037,0.8457,0.0244,0.6301,1.0000
25,0.7818,305.89,1.0818,0.8362,0.0501,0.0000,1.0000
26,0.7833,300.87,1.0824,0.8351,-0.1202,0.0169,1.0000
27,0.7865,296.23,1.0861,0.8379,-0.0740,0.0000,1.0000
28,0.7153,312.59,1.0153,0.8503,0.0693,0.0251,1.0000
29,0.7798,296.65,1.0786,0.8426,0.0173,0.0000,1.0000
30,0.7819,304.72,1.0819,0.8337,-0.1680,0.0000,1.0000
31,0.7193,311.54,1.0183,0.8611,-0.1903,1.3508,1.0000
32,0.7431,308.44,1.0431,0.8340,-0.2209,0.0000,1.0000
33,0.7789,304.74,1.0726,0.8472,0.2806,2.9235,1.0000
34,0.7594,315.22,1.0594,0.8363,-0.2142,0.0000,1.0000
35,0.7707,317.03,1.0707,0.8427,0.0297,0.0000,1.0000
36,0.7785,314.23,1.0785,0.8345,-0.0504,0.0000,1.0000
37,0.7308,319.17,1.0308,0.8336,-0.2529,0.0000,1.0000
38,0.7901,309.18,1.0897,0.8512,0.0719,0.0000,1.0000
39,0.8141,315.80,1.1135,0.8271,-0.0348,0.0000,1.0000
40,0.7754,322.85,1.0754,0.8218,-0.0605,0.0000,1.0000
41,0.7836,315.86,1.0836,0.8417,-0.0605,0.0374,1.0000
42,0.7745,311.70,1.0686,0.8536,-0.4640,0.0000,1.0000
43,0.7503,308.79,1.0316,0.8404,-0.2513,0.0000,1.0000
44,0.7839,316.64,1.0830,0.8363,-0.0470,0.8955,1.0000
45,0.7810,322.65,1.0779,0.8348,-0.0639,0.7606,1.0000
46,0.7676,325.90,1.0676,0.8326,-0.2077,0.0000,1.0000
47,0.7809,321.50,1.0809,0.8427,-0.1363,0.1605,1.0000
48,0.7722,317.91,1.0628,0.8281,0.2508,0.0000,1.0000
49,0.7720,318.17,1.0720,0.8287,-0.0330,0.1836,1.0000
50,0.7822,316.07,1.0822,0.8386,0.1826,0.6226,1.0000
51,0.7553,330.38,1.0553,0.8404,-0.1224,0.0000,1.0000
52,0.7676,322.51,1.0591,0.8311,-0.2053,0.0000,1.0000
53,0.7510,316.98,1.0502,0.8365,0.0063,0.0000,1.0000
54,0.7822,320.54,1.0822,0.8261,0.0011,0.1083,1.0000
55,0.7555,316.67,1.0464,0.8435,0.0015,0.0000,1.0000
56,0.7351,319.51,1.0351,0.8407,-0.4185,0.0000,1.0000
57,0.7707,333.88,1.0707,0.8467,-0.0236,0.0000,1.0000
58,0.7256,330.32,1.0256,0.8496,-0.0878,0.0000,1.0000
59,0.7995,329.57,1.0995,0.8286,0.0063,0.0326,1.0000
60,0.7330,318.96,1.0236,0.8509,0.2905,0.1231,1.0000
61,0.7745,321.66,1.0650,0.8429,-0.3136,0.1284,1.0000
62,0.7448,323.56,1.0395,0.8495,-0.1429,0.2777,1.0000
63,0.7707,333.12,1.0707,0.8341,-0.0936,0.1047,1.0000
64,0.7427,330.84,1.0419,0.8501,-0.2007,0.0000,1.0000
65,0.7551,332.79,1.0551,0.8416,-0.0457,0.0000,1.0000
66,0.7755,323.36,1.0743,0.8469,0.2528,3.0041,1.0000
67,0.7263,327.85,1.0217,0.8369,-0.0954,0.5400,1.0000
68,0.8028,329.23,1.1028,0.8350,-0.0938,0.0200,1.0000
69,0.8065,330.51,1.1046,0.8339,-0.1724,0.0255,1.0000
70,0.7831,332.72,1.0831,0.8275,-0.1456,0.0000,1.0000
71,0.7850,330.74,1.0850,0.8273,-0.2390,0.1842,1.0000
72,0.7685,332.76,1.0685,0.8426,0.1040,0.5178,1.0000
73,0.7778,332.93,1.0769,0.8321,0.0852,0.3643,1.0000
74,0.7889,335.80,1.0889,0.8343,-0.1523,0.0000,1.0000
75,0.7358,328.83,1.0264,0.8425,-0.0980,0.4468,1.0000
76,0.8180,331.26,1.1180,0.8362,-0.0024,0.0000,1.0000
77,0.7587,331.46,1.0587,0.8387,-0.1818,0.0000,1.0000
78,0.7801,336.98,1.0801,0.8395,-0.0007,0.0000,1.0000
