step,mean_qed,mean_mw,mean_reward,mean_diversity,loss,mean_kl,validity
1,0.7233,301.01,0.9792,0.8561,-0.5685,0.0000,1.0000
2,0.7464,291.39,0.9805,0.8427,-0.1933,0.0000,1.0000
3,0.7196,303.43,0.9741,0.8482,0.1498,0.4748,1.0000
4,0.7800,294.24,1.0222,0.8386,0.0254,0.5058,1.0000
5,0.7166,295.56,0.9688,0.8524,0.0625,1.5574,1.0000
6,0.7593,303.75,1.0082,0.8508,-0.1935,0.0039,1.0000
7,0.7203,301.37,0.9730,0.8447,-0.1871,0.1354,1.0000
8,0.7333,298.24,0.9776,0.8463,-0.0982,0.0000,1.0000
9,0.7618,306.46,1.0174,0.8533,0.0192,0.0000,1.0000
10,0.7610,308.66,1.0130,0.8397,0.0652,0.2441,1.0000
11,0.7760,307.53,1.0281,0.8429,-0.0681,0.0000,1.0000
12,0.7079,304.20,0.9616,0.8515,0.2600,1.4472,1.0000
13,0.7555,310.87,1.0094,0.8464,-0.1324,0.0000,1.0000
14,0.6835,313.38,0.9357,0.8487,-0.0475,0.3935,1.0000
15,0.7522,316.96,1.0070,0.8494,0.0865,0.4163,1.0000
16,0.7679,312.61,1.0257,0.8595,-0.0986,0.1733,1.0000
17,0.7752,311.82,1.0288,0.8563,-0.0972,0.7446,1.0000
18,0.7247,312.73,0.9790,0.8542,-0.0804,0.0000,1.0000
19,0.7444,302.55,0.9988,0.8487,0.0369,0.0800,1.0000
20,0.7383,317.58,0.9894,0.8371,-0.2037,0.1028,1.0000
21,0.8026,314.96,1.0538,0.8375,-0.0398,0.0316,1.0000
22,0.7584,314.91,1.0066,0.8449,-0.2050,0.0124,1.0000
23,0.7274,304.50,0.9711,0.8437,-0.0171,0.0000,1.0000
24,0.8131,316.20,1.0655,0.8468,-0.0700,0.0000,1.0000
25,0.7760,312.68,1.0280,0.8415,-0.2209,0.0000,1.0000
26,0.7262,314.55,0.9804,0.8474,-0.1550,0.4860,1.0000
27,0.7393,309.12,0.9860,0.8527,-0.2203,0.6551,1.0000
28,0.7859,319.25,1.0370,0.8369,0.0556,0.0000,1.0000
29,0.7822,313.10,1.0348,0.8422,-0.0339,0.0000,1.0000
30,0.7577,319.42,1.0071,0.8374,-0.0943,0.0000,1.0000
31,0.7662,313.27,1.0199,0.8457,-0.1337,0.0000,1.0000
32,0.7800,310.51,1.0290,0.8348,-0.0820,0.0000,1.0000
33,0.7215,315.41,0.9764,0.8499,-0.0366,0.0000,1.0000
34,0.7357,317.92,0.9938,0.8603,-0.1152,0.0000,1.0000
35,0.7787,319.16,1.0278,0.8305,-0.1749,0.0000,1.0000
36,0.7676,316.10,1.0190,0.8423,-0.2627,0.0000,1.0000
37,0.7744,313.91,1.0274,0.8466,-0.0165,0.0727,1.0000
38,0.8034,318.93,1.0542,0.8360,-0.1493,0.1287,1.0000
39,0.7625,305.06,1.0076,0.8483,-0.1398,0.1397,1.0000
40,0.7994,311.47,1.0517,0.8461,0.0599,0.0000,1.0000
41,0.7698,308.84,1.0241,0.8478,-0.0861,0.0000,1.0000
42,0.7691,316.72,1.0187,0.8385,-0.1700,0.0389,1.0000
43,0.7409,302.19,0.9818,0.8438,0.0681,0.0000,1.0000
44,0.7555,316.15,1.0068,0.8410,-0.0697,0.0000,1.0000
45,0.7830,307.74,1.0361,0.8437,-0.0309,0.0000,1.0000
46,0.7639,301.28,1.0108,0.8445,-0.0894,0.3181,1.0000
47,0.8250,316.16,1.0759,0.8363,-0.1133,0.0000,1.0000
48,0.8268,300.59,1.0745,0.8428,-0.0806,0.3280,1.0000
49,0.7603,307.23,1.0139,0.8453,-0.1653,0.0000,1.0000
50,0.7969,311.95,1.0452,0.8276,0.1021,0.0000,1.0000
51,0.7791,309.34,1.0322,0.8436,-0.1177,0.3984,1.0000
52,0.7467,299.19,0.9970,0.8380,0.0165,0.1926,1.0000
53,0.7816,301.86,1.0257,0.8452,0.0171,0.0000,1.0000
54,0.7679,311.12,1.0198,0.8396,-0.2892,0.0000,1.0000
55,0.7898,300.40,1.0402,0.8345,0.0332,0.0000,1.0000
56,0.7819,314.68,1.0319,0.8333,-0.3143,0.0000,1.0000
57,0.7966,307.04,1.0473,0.8356,0.0302,0.0000,1.0000
58,0.7967,306.15,1.0408,0.8440,-0.0394,0.2646,1.0000
59,0.7726,302.11,1.0239,0.8378,0.2314,0.9732,1.0000
60,0.8221,308.49,1.0729,0.8362,-0.2377,0.0000,1.0000
61,0.7815,310.22,1.0336,0.8404,-0.1991,0.2226,1.0000
62,0.7526,306.81,1.0036,0.8407,-0.0958,0.0000,1.0000
63,0.8020,314.26,1.0514,0.8315,-0.2931,0.1146,1.0000
64,0.7817,310.90,1.0295,0.8285,-0.2036,0.1117,1.0000
65,0.7906,318.58,1.0402,0.8321,-0.0561,0.0000,1.0000
66,0.7712,313.86,1.0192,0.8268,-0.1518,0.0000,1.0000
67,0.7848,306.15,1.0304,0.8189,-0.0611,0.0732,1.0000
68,0.7970,306.00,1.0472,0.8376,-0.1880,0.0000,1.0000
69,0.7808,315.24,1.0308,0.8331,0.0171,0.2652,1.0000
70,0.7923,311.93,1.0415,0.8364,-0.0906,0.0000,1.0000
71,0.7889,306.46,1.0433,0.8489,-0.0045,0.2536,1.0000
72,0.7773,325.03,1.0258,0.8282,-0.1295,0.3960,1.0000
73,0.7408,311.94,0.9834,0.8400,-0.0103,0.1457,1.0000
74,0.7619,325.03,1.0151,0.8440,-0.0704,0.0571,1.0000
75,0.7858,312.56,1.0338,0.8266,-0.0907,0.0000,1.0000
76,0.8174,305.88,1.0619,0.8330,-0.0744,0.1206,1.0000
77,0.7994,322.01,1.0425,0.8104,-0.1662,0.0000,1.0000
78,0.7997,320.07,1.0477,0.8266,-0.0540,0.0000,1.0000
79,0.8205,320.25,1.0662,0.8214,-0.0050,0.6615,1.0000
80,0.7412,307.17,0.9844,0.8419,0.0129,0.0000,1.0000
81,0.7940,322.54,1.0392,0.8175,-0.0329,0.0000,1.0000
82,0.7816,320.26,1.0331,0.8395,-0.0502,0.1368,1.0000
83,0.7910,321.64,1.0363,0.8178,-0.2229,0.0000,1.0000
84,0.8061,319.56,1.0554,0.8309,-0.0051,0.0000,1.0000
85,0.7879,314.44,1.0277,0.8210,-0.0702,0.1309,1.0000
86,0.7465,310.28,0.9813,0.8454,0.1127,0.2393,1.0000
87,0.8245,324.16,1.0705,0.8200,0.0524,0.2476,1.0000
88,0.8299,318.04,1.0766,0.8222,0.0272,0.0000,1.0000
89,0.8157,322.78,1.0634,0.8256,-0.0475,0.0000,1.0000
90,0.8267,322.70,1.0787,0.8400,-0.2176,0.0000,1.0000
91,0.8157,313.98,1.0624,0.8222,0.0022,0.0000,1.0000
92,0.8121,327.73,1.0587,0.8220,-0.0601,0.0000,1.0000
93,0.8336,319.10,1.0810,0.8244,-0.0888,0.0000,1.0000
94,0.8298,322.97,1.0727,0.8096,-0.0304,0.3651,1.0000
95,0.7956,312.23,1.0430,0.8247,-0.0984,0.0000,1.0000
96,0.8088,316.54,1.0570,0.8274,-0.1799,0.0000,1.0000
97,0.8222,312.19,1.0700,0.8260,0.0290,0.0000,1.0000
98,0.8120,323.20,1.0591,0.8235,0.0063,0.0000,1.0000
99,0.7955,319.17,1.0383,0.8164,-0.1291,0.0000,1.0000
100,0.8023,321.20,1.0529,0.8368,-0.0340,0.0000,1.0000
101,0.8209,322.02,1.0690,0.8270,-0.1113,0.0000,1.0000
102,0.7701,315.72,1.0131,0.8172,-0.1372,0.0000,1.0000
103,0.7835,317.88,1.0333,0.8326,-0.1546,0.0000,1.0000
104,0.7922,316.54,1.0482,0.8534,-0.1000,0.0000,1.0000
105,0.7963,320.63,1.0404,0.8137,-0.1116,0.0000,1.0000
106,0.8406,319.95,1.0850,0.8177,-0.1434,0.0000,1.0000
107,0.8216,323.38,1.0721,0.8350,-0.1487,0.0000,1.0000
108,0.8134,322.94,1.0542,0.8026,-0.0114,0.0000,1.0000
109,0.8358,320.70,1.0751,0.7974,-0.1175,0.0000,1.0000
110,0.8048,319.59,1.0521,0.8245,-0.1254,0.0000,1.0000
111,0.8277,321.92,1.0719,0.8141,0.1347,0.5034,1.0000
112,0.7940,316.10,1.0420,0.8269,-0.1590,0.0000,1.0000
113,0.8265,323.03,1.0684,0.8065,-0.1229,0.0000,1.0000
114,0.8059,317.69,1.0509,0.8177,-0.3221,0.0000,1.0000
115,0.7709,315.75,1.0186,0.8267,-0.1628,0.2063,1.0000
116,0.8134,315.95,1.0561,0.8089,-0.0493,0.0000,1.0000
117,0.7947,317.79,1.0309,0.8175,-0.3849,0.0000,1.0000
118,0.7905,308.31,1.0279,0.8225,-0.0974,0.0000,1.0000
119,0.7905,318.58,1.0367,0.8208,-0.0684,0.0000,1.0000
120,0.8518,311.50,1.0956,0.8126,-0.1335,0.0000,1.0000
121,0.8197,311.98,1.0662,0.8215,-0.1103,0.0000,1.0000
122,0.8092,315.38,1.0576,0.8279,-0.1482,0.0000,1.0000
123,0.8319,315.13,1.0691,0.8103,0.0394,0.7560,1.0000
124,0.7668,320.81,1.0131,0.8211,-0.2979,0.1413,1.0000
125,0.7953,312.35,1.0420,0.8243,-0.0533,0.0000,1.0000
126,0.8068,306.84,1.0557,0.8305,-0.0282,0.0000,1.0000
127,0.8382,315.95,1.0847,0.8215,0.0150,0.2482,1.0000
128,0.8387,315.60,1.0856,0.8231,0.0184,0.3878,1.0000
129,0.7771,309.08,1.0226,0.8232,-0.0315,0.6855,1.0000
130,0.8122,310.69,1.0583,0.8203,0.0044,0.0000,1.0000
131,0.8300,320.78,1.0743,0.8144,-0.2448,0.0000,1.0000
132,0.8010,312.63,1.0443,0.8111,-0.2959,0.1110,1.0000
133,0.8181,317.29,1.0632,0.8171,-0.0709,0.7290,1.0000
134,0.8335,318.07,1.0788,0.8175,-0.0442,0.0000,1.0000
135,0.8442,319.46,1.0892,0.8167,0.0257,0.0000,1.0000
136,0.8124,315.47,1.0573,0.8198,-0.1630,0.0000,1.0000
137,0.7781,321.85,1.0279,0.8326,-0.1094,0.0000,1.0000
138,0.8159,324.90,1.0582,0.8077,-0.0750,0.0000,1.0000
139,0.8226,319.16,1.0675,0.8166,-0.1592,0.0000,1.0000
140,0.8064,319.97,1.0560,0.8341,-0.1191,0.0000,1.0000
141,0.7904,328.62,1.0392,0.8296,-0.2456,0.0000,1.0000
142,0.8216,319.81,1.0718,0.8343,-0.0151,0.0000,1.0000
143,0.8285,315.29,1.0675,0.8016,-0.1958,0.0000,1.0000
144,0.8069,319.87,1.0568,0.8358,-0.1294,0.0000,1.0000
145,0.8109,311.35,1.0438,0.8077,-0.0334,0.0000,1.0000
146,0.8428,316.67,1.0865,0.8157,0.0101,0.0000,1.0000
147,0.8443,316.44,1.0906,0.8211,-0.0481,0.0043,1.0000
148,0.8526,312.94,1.0968,0.8141,-0.0192,0.0000,1.0000
149,0.8013,316.19,1.0370,0.8044,-0.2685,0.0000,1.0000
150,0.8594,310.96,1.1004,0.8033,0.0333,0.0000,1.0000
151,0.7864,310.19,1.0272,0.8340,-0.2896,0.3764,1.0000
152,0.7920,320.44,1.0384,0.8210,-0.0386,0.0000,1.0000
153,0.7777,307.19,1.0147,0.8023,-0.1767,0.0000,1.0000
154,0.7982,307.32,1.0451,0.8272,-0.2523,0.0000,1.0000
155,0.7947,313.69,1.0375,0.8218,-0.1210,0.4476,1.0000
156,0.8285,314.87,1.0706,0.8071,-0.0536,0.0000,1.0000
157,0.8153,316.78,1.0580,0.8105,-0.2033,0.0000,1.0000
158,0.8603,317.67,1.0999,0.7987,0.0138,0.0000,1.0000
159,0.8219,316.02,1.0635,0.8056,0.0719,0.0000,1.0000
160,0.8381,319.14,1.0824,0.8142,0.0209,0.0000,1.0000
161,0.8458,314.51,1.0895,0.8123,-0.1928,0.0000,1.0000
162,0.8069,315.25,1.0499,0.8099,-0.0659,0.2056,1.0000
163,0.8442,317.61,1.0899,0.8188,-0.0409,0.0000,1.0000
164,0.8401,323.10,1.0827,0.8088,-0.1218,0.0000,1.0000
165,0.8371,316.96,1.0764,0.7978,-0.2499,0.0000,1.0000
166,0.8483,319.25,1.0833,0.7836,-0.0490,0.0000,1.0000
167,0.8503,308.04,1.0936,0.8174,-0.0093,0.0000,1.0000
168,0.8244,305.31,1.0742,0.8328,-0.1585,0.0000,1.0000
169,0.8524,301.06,1.0885,0.8047,-0.0163,0.0000,1.0000
170,0.8056,320.14,1.0460,0.8014,-0.2234,0.0000,1.0000
171,0.8052,315.12,1.0383,0.7834,-0.1253,0.0000,1.0000
172,0.8344,307.08,1.0813,0.8325,-0.3432,0.0000,1.0000
173,0.8569,310.62,1.1044,0.8248,-0.0869,0.0000,1.0000
174,0.8198,311.91,1.0621,0.8077,-0.0020,0.0000,1.0000
175,0.8213,311.54,1.0596,0.8200,-0.2402,0.2387,1.0000
176,0.8459,315.20,1.0796,0.7788,-0.1355,0.0000,1.0000
177,0.8240,315.06,1.0673,0.8142,-0.0410,0.1512,1.0000
178,0.8442,315.02,1.0808,0.7930,-0.0006,0.0000,1.0000
179,0.8321,307.79,1.0647,0.8065,-0.1159,0.0000,1.0000
180,0.8085,311.94,1.0481,0.8277,-0.1720,0.0000,1.0000
181,0.8415,312.13,1.0793,0.7924,-0.0992,0.0000,1.0000
182,0.8330,311.00,1.0764,0.8145,-0.1035,0.0000,1.0000
183,0.8668,314.47,1.1028,0.7900,-0.0578,0.0000,1.0000
184,0.8320,308.15,1.0758,0.8127,-0.0625,0.4905,1.0000
185,0.8396,308.88,1.0739,0.7809,-0.2452,0.0000,1.0000
186,0.8407,313.72,1.0864,0.8190,-0.1317,0.0000,1.0000
187,0.8218,310.94,1.0658,0.8132,-0.0557,0.0000,1.0000
188,0.8597,317.92,1.0978,0.7937,-0.0340,0.0000,1.0000
189,0.8305,311.57,1.0708,0.8010,-0.1850,0.0000,1.0000
190,0.8579,314.91,1.0938,0.7863,-0.0754,0.0000,1.0000
191,0.8411,323.87,1.0768,0.7854,-0.1051,0.0000,1.0000
192,0.8308,317.50,1.0738,0.8099,-0.1347,0.0000,1.0000
193,0.8477,314.17,1.0865,0.7960,-0.0120,0.0000,1.0000
194,0.8512,312.37,1.0925,0.8044,0.0191,0.0000,1.0000
195,0.8238,315.37,1.0675,0.8123,-0.1575,0.0000,1.0000
