step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
1,0.7145,0.7145,0.8413,-0.6060,0.0000,1.0000
2,0.7395,0.7395,0.8392,-0.3393,0.0040,1.0000
3,0.6901,0.6901,0.8730,-0.8146,0.0105,1.0000
4,0.6751,0.6751,0.8493,-1.5336,0.0062,1.0000
5,0.6965,0.6965,0.8603,-0.9007,0.0068,1.0000
6,0.7364,0.7364,0.8638,-0.1893,0.0071,1.0000
7,0.7455,0.7455,0.8711,-0.1914,0.0067,1.0000
8,0.7418,0.7418,0.8531,-1.0632,0.0183,1.0000
9,0.7272,0.7272,0.8500,-0.8228,0.0130,1.0000
10,0.7123,0.7123,0.8658,-0.3842,0.0152,1.0000
11,0.7568,0.7568,0.8468,-0.8447,0.0022,1.0000
12,0.7574,0.7574,0.8576,-0.2210,0.0178,1.0000
13,0.6841,0.6841,0.8426,-0.4897,0.0176,1.0000
14,0.7253,0.7253,0.8566,-0.9752,0.0103,1.0000
15,0.7390,0.7390,0.8564,-0.4415,0.0102,1.0000
16,0.7061,0.7061,0.8557,-1.3838,0.0219,1.0000
17,0.7327,0.7327,0.8574,-1.0404,0.0117,1.0000
18,0.7268,0.7268,0.8641,-0.2206,0.0265,1.0000
19,0.6897,0.6897,0.8642,-0.9625,0.0166,1.0000
20,0.7263,0.7263,0.8625,-0.5926,0.0198,1.0000
21,0.6942,0.6942,0.8609,-0.6201,0.0457,1.0000
22,0.6996,0.6996,0.8613,-2.1934,0.0317,1.0000
23,0.7306,0.7306,0.8487,-0.7029,0.0263,1.0000
24,0.7093,0.7093,0.8660,-0.8102,0.0080,1.0000
25,0.7388,0.7388,0.8575,-1.2345,0.0352,1.0000
26,0.6927,0.6927,0.8682,-1.0741,0.0154,1.0000
27,0.7036,0.7036,0.8548,-0.9815,0.0204,1.0000
28,0.7101,0.7101,0.8803,-1.8135,0.0100,1.0000
29,0.7394,0.7394,0.8672,-0.5213,0.0389,1.0000
30,0.7308,0.7308,0.8552,-0.4839,0.0067,1.0000
31,0.7481,0.7481,0.8589,-1.1073,0.0263,1.0000
32,0.7077,0.7077,0.8601,-1.6182,0.0409,1.0000
33,0.6919,0.6919,0.8761,-1.3682,0.0054,1.0000
34,0.7449,0.7449,0.8480,-0.9229,0.0122,1.0000
35,0.6565,0.6565,0.8643,-0.6432,0.0331,1.0000
36,0.7350,0.7350,0.8491,-0.5099,0.0354,1.0000
37,0.7192,0.7192,0.8723,-1.0070,0.0237,1.0000
38,0.6806,0.6806,0.8580,-0.7020,0.0089,1.0000
39,0.7321,0.7321,0.8549,-0.5964,0.0351,1.0000
40,0.6990,0.6990,0.8481,-0.7422,0.0307,1.0000
41,0.7349,0.7349,0.8648,-0.8886,0.0452,1.0000
42,0.7009,0.7009,0.8615,-0.7640,0.0130,1.0000
43,0.7165,0.7165,0.8644,-1.0718,0.0000,1.0000
44,0.7197,0.7197,0.8703,-0.2453,0.0263,1.0000
45,0.6766,0.6766,0.8693,-0.5712,0.0108,1.0000
46,0.7363,0.7363,0.8691,-0.5972,0.0452,1.0000
47,0.7264,0.7264,0.8627,-1.6555,0.0475,1.0000
48,0.7582,0.7582,0.8551,-0.6485,0.0320,1.0000
49,0.7307,0.7307,0.8462,-0.6621,0.0611,1.0000
50,0.7475,0.7475,0.8648,-0.1647,0.0035,1.0000
51,0.7043,0.7043,0.8674,-0.2447,0.0305,1.0000
52,0.7182,0.7182,0.8757,-0.5752,0.1030,1.0000
53,0.7591,0.7591,0.8494,-1.1383,0.0534,1.0000
54,0.7277,0.7277,0.8711,-1.9216,0.0186,1.0000
55,0.6550,0.6550,0.8744,-1.7861,0.0058,1.0000
56,0.7116,0.7116,0.8589,-0.6617,0.0480,1.0000
57,0.7416,0.7416,0.8509,-0.5127,0.0657,1.0000
58,0.6881,0.6881,0.8797,-2.8075,0.0087,1.0000
59,0.6944,0.6944,0.8511,-0.4016,0.0251,1.0000
60,0.7193,0.7193,0.8628,-1.7558,0.0524,1.0000
61,0.7287,0.7287,0.8570,-0.7722,0.0275,1.0000
62,0.6987,0.6987,0.8632,-2.2184,0.0377,1.0000
63,0.7128,0.7128,0.8544,-2.5801,0.0342,1.0000
64,0.7345,0.7345,0.8734,-0.7096,0.0047,1.0000
65,0.6779,0.6779,0.8822,-2.6177,0.0516,1.0000
66,0.6884,0.6884,0.8755,-1.1958,0.0346,1.0000
