step,mean_qed,mean_reward,mean_diversity,loss,validity
1,0.7838,0.7838,0.8472,-1.1249,1.0000
2,0.7402,0.7402,0.8657,-0.2844,1.0000
3,0.7316,0.7316,0.8596,-0.0810,1.0000
4,0.7448,0.7448,0.8639,-0.5819,1.0000
5,0.7165,0.7165,0.8571,-1.4036,1.0000
6,0.7139,0.7139,0.8625,-0.6373,1.0000
7,0.7294,0.7294,0.8704,-0.9313,1.0000
8,0.6909,0.6909,0.8499,-1.6569,1.0000
9,0.7347,0.7347,0.8524,-1.5826,1.0000
10,0.7487,0.7487,0.8586,-0.6563,1.0000
11,0.7308,0.7308,0.8518,-0.4525,1.0000
12,0.7021,0.7021,0.8585,-0.7646,1.0000
13,0.7636,0.7636,0.8537,-1.0017,1.0000
14,0.6897,0.6897,0.8595,-1.3174,1.0000
15,0.7379,0.7379,0.8557,-0.2927,1.0000
16,0.7053,0.7053,0.8727,-1.6259,1.0000
17,0.7040,0.7040,0.8675,-0.6579,1.0000
18,0.7422,0.7422,0.8632,-0.8085,1.0000
19,0.7621,0.7621,0.8625,-0.4687,1.0000
20,0.7482,0.7482,0.8576,-1.2326,1.0000
21,0.7364,0.7364,0.8648,-0.5601,1.0000
22,0.6742,0.6742,0.8575,-0.9518,1.0000
23,0.7815,0.7815,0.8530,-0.4124,1.0000
24,0.7080,0.7080,0.8584,-2.1375,1.0000
25,0.7458,0.7458,0.8597,-0.9606,1.0000
26,0.7806,0.7806,0.8539,-1.1364,1.0000
27,0.7166,0.7166,0.8664,-1.3315,1.0000
28,0.7386,0.7386,0.8687,-1.2549,1.0000
29,0.7133,0.7133,0.8664,-0.2088,1.0000
30,0.7447,0.7447,0.8522,-1.3081,1.0000
31,0.6948,0.6948,0.8857,-1.0772,1.0000
32,0.7359,0.7359,0.8547,-0.1134,1.0000
33,0.7080,0.7080,0.8687,-1.5558,1.0000
34,0.7159,0.7159,0.8549,-0.8020,1.0000
35,0.7306,0.7306,0.8690,-0.7042,1.0000
36,0.7337,0.7337,0.8622,-0.8475,1.0000
37,0.6766,0.6766,0.8619,-0.7155,1.0000
38,0.7199,0.7199,0.8580,-0.3563,1.0000
39,0.6895,0.6895,0.8561,-1.9917,1.0000
40,0.6848,0.6848,0.8584,-3.0105,1.0000
41,0.6979,0.6979,0.8764,-0.6269,1.0000
42,0.7441,0.7441,0.8595,-0.7292,1.0000
43,0.6964,0.6964,0.8635,-1.6276,1.0000
44,0.6847,0.6847,0.8623,-0.3309,1.0000
45,0.7297,0.7297,0.8558,-0.4938,1.0000
46,0.6818,0.6818,0.8668,-0.7074,1.0000
47,0.6700,0.6700,0.8880,-1.5783,1.0000
48,0.7512,0.7512,0.8642,-0.5476,1.0000
49,0.7154,0.7154,0.8830,-1.1040,1.0000
50,0.7258,0.7258,0.8619,-0.7337,1.0000
51,0.6857,0.6857,0.8803,-1.0520,1.0000
52,0.7405,0.7405,0.8696,-2.2120,1.0000
53,0.7146,0.7146,0.8702,-1.8257,1.0000
54,0.7075,0.7075,0.8604,-1.8058,1.0000
55,0.6682,0.6682,0.8841,-0.9431,1.0000
56,0.7228,0.7228,0.8641,-1.2384,1.0000
57,0.7082,0.7082,0.8658,-1.1821,1.0000
58,0.7427,0.7427,0.8637,-1.9013,1.0000
59,0.7376,0.7376,0.8735,-1.7823,1.0000
60,0.7637,0.7637,0.8602,-0.6399,1.0000
61,0.7363,0.7363,0.8645,-1.2488,1.0000
62,0.6752,0.6752,0.8747,-0.6900,1.0000
63,0.7111,0.7111,0.8822,-2.3867,1.0000
64,0.6451,0.6451,0.8753,-2.6013,1.0000
65,0.7145,0.7145,0.8478,-2.1466,1.0000
66,0.7021,0.7021,0.8741,-1.0815,1.0000
67,0.6557,0.6557,0.8864,-2.3837,1.0000
68,0.6773,0.6773,0.8789,-2.4350,1.0000
69,0.7002,0.7002,0.8704,-3.1488,1.0000
70,0.6632,0.6632,0.8760,-2.6720,1.0000
71,0.7311,0.7311,0.8691,-2.1784,1.0000
72,0.6461,0.6461,0.8842,-3.0839,1.0000
73,0.6794,0.6794,0.8848,-2.3116,1.0000
74,0.6964,0.6964,0.8875,-0.5219,1.0000
75,0.7187,0.7187,0.8580,-1.1635,1.0000
76,0.6968,0.6968,0.8690,-2.9213,1.0000
77,0.6687,0.6687,0.8798,-1.2185,1.0000
78,0.6837,0.6837,0.8853,-1.5353,1.0000
79,0.6819,0.6819,0.8777,-3.3056,1.0000
80,0.6324,0.6324,0.8849,-2.7101,1.0000
81,0.6892,0.6892,0.8898,-1.3959,1.0000
82,0.6702,0.6702,0.8746,-3.2652,1.0000
83,0.6418,0.6418,0.8921,-1.1637,1.0000
84,0.6261,0.6261,0.8923,-2.8768,1.0000
85,0.7141,0.7141,0.8702,-4.7416,1.0000
86,0.6381,0.6381,0.8909,-4.4512,1.0000
87,0.7137,0.7137,0.8784,-1.9574,1.0000
88,0.6567,0.6567,0.8928,-2.8274,1.0000
89,0.6702,0.6702,0.8774,-2.6554,1.0000
90,0.6453,0.6453,0.8839,-2.7177,1.0000
91,0.5938,0.5938,0.9029,-2.0740,1.0000
92,0.7024,0.7024,0.8744,-3.2367,1.0000
93,0.6686,0.6686,0.8703,-0.7398,1.0000
94,0.6648,0.6648,0.8774,-1.2064,1.0000
95,0.6843,0.6843,0.8849,-2.5989,1.0000
96,0.6911,0.6911,0.8719,-3.1321,1.0000
97,0.6073,0.6073,0.8831,-3.5564,1.0000
