step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
1,0.6459,0.6459,0.8870,0.0118,2.7006,1.0000
2,0.6084,0.6084,0.8918,0.4501,3.8923,1.0000
3,0.6604,0.6604,0.8822,-0.1697,0.6725,1.0000
4,0.6346,0.6346,0.8957,0.1393,2.2235,1.0000
5,0.6874,0.6874,0.8829,0.1422,3.6386,1.0000
6,0.6606,0.6606,0.8766,0.1894,1.8808,1.0000
7,0.6646,0.6646,0.8724,-0.0176,1.5411,1.0000
8,0.6198,0.6198,0.8839,-0.2721,0.1492,1.0000
9,0.6287,0.6287,0.8869,0.1759,6.3413,1.0000
10,0.6226,0.6226,0.8854,0.1116,2.9072,1.0000
11,0.6131,0.6131,0.8769,-0.1689,2.1138,1.0000
12,0.6575,0.6575,0.8675,-0.1758,0.3254,1.0000
13,0.6231,0.6231,0.8742,0.3476,1.9372,1.0000
14,0.5416,0.5416,0.8872,0.3231,1.6171,1.0000
15,0.6372,0.6372,0.8827,-0.4797,1.6935,1.0000
16,0.6366,0.6366,0.8868,0.3129,4.4191,1.0000
17,0.6313,0.6313,0.8668,-0.2775,1.0760,1.0000
18,0.6316,0.6316,0.8817,-0.2247,1.0077,1.0000
19,0.5708,0.5708,0.8729,-0.0243,1.9445,1.0000
20,0.6776,0.6776,0.8814,0.0114,1.3727,1.0000
21,0.6498,0.6498,0.8794,-0.2121,2.6348,1.0000
22,0.6420,0.6420,0.8803,-0.0613,0.5570,1.0000
23,0.6544,0.6544,0.8713,-0.0325,1.2992,1.0000
24,0.6397,0.6397,0.8735,-0.3591,0.4766,1.0000
25,0.6191,0.6191,0.8791,0.1435,1.0847,1.0000
26,0.6219,0.6219,0.8833,0.2225,2.1737,1.0000
27,0.5840,0.5840,0.8843,-0.0868,2.0115,1.0000
28,0.6449,0.6449,0.8941,-0.0698,1.6147,1.0000
29,0.6155,0.6155,0.8659,-0.3573,0.0032,1.0000
30,0.6929,0.6929,0.8668,-0.1245,2.3463,1.0000
31,0.6354,0.6354,0.8910,0.4293,2.8722,1.0000
32,0.6032,0.6032,0.8751,-0.0167,1.1578,1.0000
33,0.6688,0.6688,0.8703,-0.6281,0.2859,1.0000
34,0.6348,0.6348,0.8784,-0.1453,1.6559,1.0000
35,0.6185,0.6185,0.8620,-0.0083,0.8781,1.0000
36,0.6561,0.6561,0.8742,-0.0347,0.4993,1.0000
37,0.5882,0.5882,0.8851,-0.2716,0.3716,1.0000
38,0.6469,0.6469,0.8703,-0.3823,0.7314,1.0000
39,0.6679,0.6679,0.8774,-0.0868,1.2378,1.0000
40,0.6443,0.6443,0.8904,-0.0985,1.3615,1.0000
41,0.5877,0.5877,0.8850,-0.4353,1.3400,1.0000
42,0.6679,0.6679,0.8804,-0.2273,1.5084,1.0000
43,0.6227,0.6227,0.8787,-0.0806,0.8559,1.0000
44,0.6729,0.6729,0.8827,0.0994,1.9508,1.0000
45,0.6207,0.6207,0.8792,-0.1745,0.2610,1.0000
46,0.6431,0.6431,0.8794,-0.0714,0.5493,1.0000
47,0.6554,0.6554,0.8771,-0.0790,1.1935,1.0000
48,0.7088,0.7088,0.8665,-0.1373,0.3557,1.0000
49,0.6232,0.6232,0.8778,-0.1694,0.9671,1.0000
50,0.6671,0.6671,0.8825,-0.0142,0.4878,1.0000
51,0.6030,0.6030,0.8834,-0.5968,0.5859,1.0000
52,0.6672,0.6672,0.8736,0.0723,1.8309,1.0000
53,0.6682,0.6682,0.8646,-0.3917,0.0000,1.0000
54,0.6554,0.6554,0.8776,-0.0580,0.4341,1.0000
55,0.6523,0.6523,0.8734,0.1176,1.1261,1.0000
56,0.6265,0.6265,0.8908,-0.6148,0.9591,1.0000
57,0.6794,0.6794,0.8714,-0.0720,1.0032,1.0000
58,0.6270,0.6270,0.8865,-0.4614,0.6545,1.0000
59,0.6888,0.6888,0.8678,-0.4875,0.0544,1.0000
60,0.6579,0.6579,0.8654,-0.2655,1.2007,1.0000
61,0.6596,0.6596,0.8730,-0.7784,0.5991,1.0000
62,0.6775,0.6775,0.8779,0.5883,5.0629,1.0000
63,0.7151,0.7151,0.8618,-0.1944,0.0000,1.0000
64,0.6807,0.6807,0.8708,-0.4031,0.2535,1.0000
65,0.7054,0.7054,0.8651,-0.0926,0.2680,1.0000
66,0.6629,0.6629,0.8858,-0.1685,2.0526,1.0000
67,0.6485,0.6485,0.8698,-0.0742,0.3410,1.0000
68,0.6712,0.6712,0.8711,-0.3081,0.6997,1.0000
69,0.6686,0.6686,0.8784,0.0667,1.6080,1.0000
70,0.6754,0.6754,0.8647,-0.1924,0.2699,1.0000
71,0.7037,0.7037,0.8778,0.1106,1.1362,1.0000
72,0.7078,0.7078,0.8558,-0.6277,0.0000,1.0000
73,0.7200,0.7200,0.8665,-0.3366,0.3767,1.0000
74,0.6809,0.6809,0.8780,0.0505,3.0961,1.0000
75,0.6654,0.6654,0.8914,0.1302,0.8543,1.0000
76,0.6687,0.6687,0.8754,-0.0502,0.4292,1.0000
77,0.6658,0.6658,0.8763,-0.1068,0.4692,1.0000
78,0.7336,0.7336,0.8845,-0.5803,1.7156,1.0000
79,0.6972,0.6972,0.8738,-0.2212,1.2979,1.0000
80,0.6935,0.6935,0.8766,-0.2268,0.0000,1.0000
81,0.6900,0.6900,0.8615,0.0885,0.4019,1.0000
82,0.7111,0.7111,0.8735,-0.0594,0.2016,1.0000
83,0.7591,0.7591,0.8671,-0.2720,0.0000,1.0000
84,0.6805,0.6805,0.8716,-0.2146,0.7199,1.0000
85,0.6654,0.6654,0.8778,-0.3329,0.8335,1.0000
86,0.6723,0.6723,0.8635,0.0176,0.0000,1.0000
87,0.7098,0.7098,0.8749,-0.0506,0.7625,1.0000
88,0.6407,0.6407,0.8834,-0.1600,1.1360,1.0000
89,0.7338,0.7338,0.8718,-0.1479,0.6838,1.0000
90,0.6522,0.6522,0.8801,-0.3421,2.0958,1.0000
91,0.7513,0.7513,0.8612,-0.1927,0.3733,1.0000
92,0.7177,0.7177,0.8651,-0.1946,0.1661,1.0000
93,0.7156,0.7156,0.8701,-0.2516,0.7123,1.0000
94,0.6925,0.6925,0.8671,-0.2395,0.9428,1.0000
95,0.6576,0.6576,0.8652,-0.1131,0.0889,1.0000
96,0.7099,0.7099,0.8611,-0.0156,0.0859,1.0000
97,0.7291,0.7291,0.8593,-0.1887,1.0848,1.0000
98,0.7197,0.7197,0.8630,0.0503,0.1105,1.0000
99,0.6752,0.6752,0.8691,-0.4425,0.1972,1.0000
100,0.7262,0.7262,0.8779,-0.3198,0.0000,1.0000
