stratification,group,n,bleu2,atom_bleu2,morgan_sim,maccs_sim,rdk_sim,lev_sim,exact_match
overall,all,2542,0.6227,0.6036,0.2993,0.642,0.4079,0.5215,0.0059
ring_count,0 rings,762,0.6721,0.6667,0.4509,0.7092,0.468,0.631,0.0118
ring_count,1-2 rings,924,0.6054,0.5916,0.2663,0.6064,0.3469,0.5056,0.0065
ring_count,3+ rings,856,0.5973,0.5603,0.2,0.6205,0.4203,0.4413,0.0
smiles_length,short (<30),712,0.5477,0.5429,0.2874,0.5729,0.3018,0.5132,0.014
smiles_length,medium (30-60),1044,0.6114,0.6014,0.2917,0.631,0.3909,0.5004,0.0038
smiles_length,long (>60),786,0.7056,0.6614,0.3202,0.719,0.5267,0.5571,0.0013
stereochemistry,no_stereo,928,0.541,0.5406,0.2469,0.5609,0.3056,0.4733,0.0097
stereochemistry,has_stereo,1614,0.6696,0.6398,0.3295,0.6885,0.4667,0.5493,0.0037
quality_bin,Poor (<0.1),202,0.3647,0.3536,0.0759,0.4,0.221,0.3271,0.0
quality_bin,Mediocre (0.1-0.3),1430,0.5641,0.5413,0.183,0.5752,0.3202,0.4369,0.0
quality_bin,Decent (0.3-0.5),510,0.7146,0.6995,0.3857,0.7317,0.4621,0.626,0.0
quality_bin,Good (0.5-0.7),225,0.8107,0.7967,0.5973,0.8358,0.639,0.7465,0.0
quality_bin,Excellent (>0.7),175,0.8896,0.8733,0.8726,0.9557,0.8852,0.8438,0.0857
