filename,dataset,model_size,encoder,eos_truncate,pre_eos_fix,cfg,temp,steps,n,validity,exact_match,bleu2,bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim,atom_bleu2,atom_bleu4
chebi20_27M_contrastive_eval_cfg1.0_t0.6_s50.csv,chebi20,27M,bge_contrastive,False,False,1.0,0.6,50,2542,100.0,0.08,0.5214,0.4091,0.4319,0.2298,0.581,0.3446,0.4987,0.3649
chebi20_27M_contrastive_eval_cfg1.0_t0.8_s50.csv,chebi20,27M,bge_contrastive,False,False,1.0,0.8,50,2542,100.0,0.0,0.5163,0.4033,0.4261,0.2246,0.5734,0.3389,0.4929,0.359
chebi20_eval_cfg1.0_t0.8_s50.csv,chebi20,27M,bge_frozen,False,False,1.0,0.8,50,2542,100.0,0.0,0.4232,0.3176,0.364,0.1877,0.5124,0.3004,0.4017,0.2807
chebi20_eval_cfg1.5_t0.6_s50.csv,chebi20,27M,bge_frozen,False,False,1.5,0.6,50,2542,100.0,0.0,0.4372,0.3306,0.3784,0.2022,0.5385,0.3198,0.4173,0.2944
chebi20_eval_cfg1.5_t0.8_s50.csv,chebi20,27M,bge_frozen,False,False,1.5,0.8,50,2542,100.0,0.0,0.4368,0.3287,0.3774,0.1965,0.5331,0.3133,0.4175,0.2923
chebi20_eval_cfg2.0_t0.4_s50.csv,chebi20,27M,bge_frozen,False,False,2.0,0.4,50,2542,100.0,0.0,0.4374,0.3295,0.3807,0.1983,0.5368,0.3131,0.4195,0.2943
chebi20_eval_cfg2.0_t0.6_s50.csv,chebi20,27M,bge_frozen,False,False,2.0,0.6,50,2542,100.0,0.0,0.4429,0.3321,0.3853,0.1987,0.5358,0.3128,0.4239,0.2964
chebi20_eval_cfg2.0_t0.8_s50.csv,chebi20,27M,bge_frozen,False,False,2.0,0.8,50,2542,100.0,0.0,0.4349,0.3247,0.3798,0.1924,0.5238,0.3059,0.417,0.2895
chebi20_eval_cfg2.0_t1.0_s50.csv,chebi20,27M,bge_frozen,False,False,2.0,1.0,50,2542,100.0,0.0,0.4265,0.3124,0.3755,0.1817,0.5107,0.2952,0.409,0.278
chebi20_eval_cfg2.5_t0.8_s50.csv,chebi20,27M,bge_frozen,False,False,2.5,0.8,50,2542,100.0,0.0,0.417,0.305,0.3742,0.182,0.5061,0.2886,0.401,0.2723
